"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,0.910815939278937,0.910815939278937,0.931472267127917,0.879399681965882,0.824562615101289,0.848484848484849,0.875786967813016,0.85171568627451,0.860023724792408,0.870044052863436,0.876837426805373,0.83843797856049,0.85,0.838754176881316,0.863715277777778,0.852865775498993,0.888888888888889,0.888888888888889,0.824361614497529,0.84034575618194,0.860294104454448,0.894219122479222,0.894736842105263,0.916666666666667,0.888243415463042,0.850077279752705,0.88405041415887,0.886468937789579,0.875659428291007,0.883333333333333,0.926534568536627,0.903042832909245,0.895669980869237,0.911363636363636,0.9375,0.940213971050975,0.9173402617398,0.946601941747573,0.963184931506849,0.93192868719611,0.935357361108313,0.946372239747634,0.953815261044177,1,1.01303272450533,1.02254850550603,1.02364174391909,1,0.990752972258917,0.981873111782477,0.971692977681002,1.00236546422235,1.02254850550603,1.02766389422888,1.05587319788852,1.07845585786762,1.03363575763524,1.03478195775261,1.13461662763582,1.13150867823765,1.10153256704981,1.09368629894557,1.08380281179094,1.12941763432266,1.11553784860558,1.13638536732508
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,0.776062095459461,0.774922118380062,0.761245674740484,0.759734093067426,0.757575757575758,0.749539447595557,0.748580278781621,0.738396624472574,0.747863247863248,0.739592559787422,0.739503816793893,0.75,0.742767787333855,0.738396624472574,0.739938080495356,0.74503618706825,0.746996996996997,0.745156482861401,0.749216300940439,0.75,0.758697261287935,0.761904761904762,0.757953836556457,0.762029910518741,0.76555023923445,0.764525993883792,0.762331838565022,0.757575757575758,0.756758775618609,0.756461040797853,0.757326390966944,0.754985754985755,0.755088640840446,0.752370323185209,0.758587786259542,0.763358778625954,0.759878419452888,0.766747376916868,0.78,0.777650027623897,0.785714285714286,0.783475783475784,0.784169124877089,0.784689389789764,0.794997982243745,0.80482263772313,0.805084745762712,0.806158612972068,0.817539150497784,0.833333333333333,0.826446280991736,0.820016820857864,0.80663430420712,0.821715521808229,0.810879511947128,0.85042735042735,0.865233350812795
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,0.611238868528074,0.642701525054466,0.61479328352446,0.60793275339654,0.61633281972265,0.623832503113325,0.619811463868537,0.625,0.618138866207455,0.612745098039216,0.614862350333207,0.619343891402715,0.604677634392373,0.611246943765281,0.603217158176944,0.602409638554217,0.608234560199626,0.611878052275517,0.605867346938776,0.597187202978139,0.609756097560976,0.607243744955609,0.611888111888112,0.63034188034188,0.633459633853541,0.63013698630137,0.616666666666667,0.622713633254639,0.61751497005988,0.615384615384615,0.614920224234584,0.609662576687117,0.615871866545426,0.625,0.608312838565527,0.614461084227895,0.607142857142857,0.60733384262796,0.605867346938776,0.605536332179931,0.60799073537927,0.608234560199626,0.602272727272727,0.594844939296723,0.598873074183946,0.606709493219129,0.609981599076346,0.614754098360656,0.627321153180373,0.626055178040317,0.622084686147186,0.628878333205256,0.623219373219373,0.629058441558442,0.63418457171601,0.633404104741684,0.637181409295352,0.637909648779214,0.641576897629622,0.647870036875054,0.650084793668739,0.655136268343816,0.678030303030303,0.667090216010165,0.655136268343816,0.655136268343816,0.670411985018727,0.672182006204757,0.659242247364268,0.658776765242214,0.664880087209302
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95158821875878,5,5.00569476082005,5,5,4.99460791519895,5.00841530914053,5.02121640735502,5.15151515151515,5.22365967365967,5.21849033319622,5.26708237154826,5.33515865498461,5.33333333333333,5.27456647398844,5.24914089347079,5.23446573751452,5.25490196078431,5.31505728314239,5.32110091743119,5.25748014747589,5.26630760023938,5.23781776702742,5.22424242424242,5.24216626555073,5.31590413943355,5.33964365256125,5.31548071128797,5.31548071128797,5.33536585365854
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,1.71456629789963,1.7689301492104,1.69867825641669,1.67700155625236,1.81543116490166,1.74581005586592,1.72320260498282,1.72291658465536,1.76163723916533,1.73360215053763,1.73410404624277,1.7579105976896,1.78861788617886,1.77053824362606,1.80950069435461,1.73253174616788,1.70293282876064,1.7336897294637,1.71109711600579,1.67897918065816,1.73333333333333,1.73984976009631,1.72537742631201,1.6969696969697,1.75182481751825,1.72228401928068,1.7173579109063,1.69967793880837,1.72117696531935,1.82688172043011,1.74863387978142,1.76882039598242,1.80333539221742,1.8,1.85092592592593,1.86938839590865,1.86656282450675,1.84155663655316,1.85812525334016,1.86041340761219,1.8783103395382,1.91405347643521,1.89873417721519,1.9279128248114,1.87159085462302,1.87073566952889,1.88920454545455,1.96666666666667,1.9205298013245,1.88542146476278,1.92480719794344,1.91402730698205,1.99,1.97975791990436,1.9963768115942,1.95751633986928,2.00066934404284,2.15530903328051,2.13486005089059,2.07078313253012,2.07986688851913,2.09125475285171,2.1,2.24438202247191
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43649880322271,1.41255868544601,1.43824027072758,1.27478753541076,1.41843971631206,1.513671875,1.48784576697402,1.46808707906839,1.5,1.45776411657559,1.4959202175884,1.4979601087942,1.5,1.56004036173829,1.51538461538462,1.53735435413662,1.51724137931034,1.50907715582451,1.48658718330849,1.57949018586069,1.65384615384615,1.56482942026497,1.42328042328042,1.53373324852499,1.57829147664486,1.54124128171434,1.59062386097675,1.58478605388273,1.52941176470588,1.63701067615658,1.6140350877193
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79368932038835,4.69815436241611,4.67836257309941,4.67592844079888,4.67479674796748,4.68227424749164,4.78653718637459,4.84615384615385,5.04666263097966,5.14006539235412,5.10868424504788,5.03601782752902,5.00496031746032,5.00368188512518,5.06482982171799,5.06872852233677,5.12566469518978,5.20833333333333,5.20833333333333,5.18754988028731,5.26315789473684,5.19357884796978,5.18668831168831,5.13928571428571,5.0906105388864,5.11517155285076,5.1419930875576,5.13667496886675,5.17465080517705
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,0.693898962378674,0.681112452572602,0.675295655610616,0.67009635697818,0.699300699300699,0.699300699300699,0.696864111498258,0.674789152105612,0.677355037261067,0.671321160042965,0.664439495174462,0.664439495174462,0.663716814159292,0.664389109531773,0.663889657079646,0.676347257333173,0.677762335680997,0.674765061557514,0.670980997309113,0.670634920634921,0.663399100899101,0.663990956959707,0.662020905923345,0.657894736842105,0.658720200752823,0.667179925892602,0.667053364269142,0.665399239543726,0.658333333333333,0.662714923029325,0.656421409356112,0.662650602409639,0.651041666666667,0.651041666666667,0.655498907501821,0.646601941747573,0.654033549589716,0.66209911738367,0.664652567975831,0.664206642066421,0.661478803608948,0.665555555555556,0.663919413919414,0.670709123757904,0.674715909090909,0.674715909090909,0.67476383265857,0.680863145939807,0.669514079799394,0.676213206046142,0.680159011568707,0.674345553084337,0.674962292609351,0.672514619883041,0.689152548578041,0.693379790940767,0.705221104630401,0.704592901878914,0.688246385920805,0.684723067559343,0.686783804430863,0.697084917617237,0.712763969488294
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9,,,,,,0.801253357206804,0.794585969476678,0.755088640840446,0.781831720029784,0.742971887550201,0.757575757575758,0.743869327791022,0.748129675810474,0.747190688343929,0.749360395701859,0.760233918128655,0.74704210380367,0.751710654936461,0.754958173090419,0.755087594263755,0.755073147711185,0.745208961808393,0.737190034177285,0.745522388059702,0.733418367346939,0.728945250505825,0.738189495172735,0.74414830208132,0.741804817744738,0.729870750170066,0.724143070044709,0.726218817514847,0.725678246405629,0.724043715846995,0.72463768115942,0.720366732154551,0.735294117647059,0.729593522802379,0.732155997056659,0.742240215924426,0.742007755386173,0.753110674525213,0.752925071465958,0.76593137254902,0.761828646281401,0.746939841767428,0.745868097780495,0.738150738150738,0.740581919827203,0.739595792324084,0.741308793456033,0.753110674525213,0.760777683854607,0.749712979627685,0.747298229478041,0.746268656716418,0.738916256157635,0.742362782532438,0.75,0.75207468879668,0.749284775170334,0.766871165644172,0.786343612334802,0.782312925170068,0.778331257783313,0.774693350548741,0.783289817232376,0.777344491766812,0.773646801530891,0.776489478141942,0.773381294964029,0.78094506245121,0.8193315266486,0.8193315266486
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",10,0.919869174161897,0.907606915261856,0.891485349909241,0.866731047802994,0.911629875107695,0.92741935483871,0.870129671261922,0.890624031488254,0.895061728395062,0.884389400921659,0.932120179811334,0.923295454545455,0.883977900552486,0.898980703568002,0.920458492532129,0.926603377500741,0.919099442399191,0.899621212121212,0.895316804407714,0.882352941176471,0.849377123442809,0.845760557988526,0.857142857142857,0.855984178901775,0.853096741170449,0.876519012936885,0.863321799307958,0.878220140515222,0.882352941176471,0.883064516129032,0.872905027932961,0.862068965517241,0.872093023255814,0.875796178343949,0.891945363439885,0.895061728395062,0.895461912479741,0.896982410671221,0.915194346289753,0.88458298230834,0.88458298230834,0.893605138229545,0.90021186440678,0.903091351163599,0.882464349376114,0.866335376371029,0.887758968241517,0.873161764705882,0.8672423354957,0.876808417360807,0.882560844667144,0.90941906577243,0.926958987894875,0.916030534351145,0.910578120136944,0.893740136770121,0.895789787996417,0.898840206185567,0.922779537756826,0.943039077360722,0.953389830508475,0.944767441860465,0.980698758768565,0.992729306487696,0.984424620677488,0.975635220803054,0.965480043149946,0.965073529411765,0.969348787350931,0.981624331203574,1.00111234705228,1.01872068575125,1.01400289715113,1.0362360306988
