"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03"
"Canyon Country","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372449.5,390000,384950,388999,389500,399450,393900,395000,395000,399000,399900,409000,4e+05,424900,409900,409975,420000,420000,430000,447000,449730,456950,452450,455000,455000,442400,437545,465000,459999
"Greater Heights","Houston","TX","Houston","Harris",183,292500,289990,289900,292515,299000,298594,292757.5,294950,294900,293000,289950,289900,289900,291400,292900,292900,299000,299000,295000,295450,295000,295934,293000,299000,299900,299999.5,3e+05,309000,313900,319900,317990,315000,319900,320000,329000,339995,344500,349400,354990,369000,379000,379900,389000,392200,399900,399900,403565,399900,419990,425000,429900,429950,443990,447300,449900,450000,472500,484000,475000,479990,484000,489900,479000,489000,475000,469987,479000,479000,479000,489900,478000,475000,476500,483450,490000
"Briarforest Area","Houston","TX","Houston","Harris",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299250,310945,312500,325000,317000,310000,310000,315000,315000,309900,330000,338995,355000,362500,359450,374700,376500,374900,350000,350500,359000,364500,364900,369500
"Parkchester","New York","NY","New York","Bronx",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,115000,110000,109510.5,114900,118750,125000,125000,125000,125000,120987.5,114000,118900,124900,127000,125000,120000,115000,119000,115000,115000,119500,120400,119950,120000,120000,122000,123000,125000,125000,121500,120000,127000,120000
"Desert View","Phoenix","AZ","Phoenix","Maricopa",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379800,383500,375000,359900,381500,387990,384950,375000,378000,359900,379999.5,384500,399000,399000,399000,395000,399000,399900,399000,399899.5,399900,399899,411500,415000,413000,407500,399000,390000,379997,379900
"Mar Vista","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949000,954000,944500,994400,959000,975000,999999,964000,980000,972000,969000,999500,950000,974000,1088000,1099000,1099000,1095000,1100000,1149900,1212500,1195000,1150000,1155000,1195000,1272500,1325000,1249000,1295000
"Ocean Parkway","New York","NY","New York","Kings",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289000,269000,244000,269000,278000,269000,285000,278500,278500,252000,253500,259000,297000,299000,299000,299000,325000,327500,294000,299000,317000,322500,322500
"South End","Tacoma","WA","Seattle","Pierce",189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000,137500,129000,129950,139950,143850,141500,144950,145000,147400,144950,140000,133705,129950,139250,142000,145000,149250,153375,159950,158750,160000,165000,166500,169450,169900,166000,159954.5,174000
"Bridgeport","Chicago","IL","Chicago","Cook",190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418000,425000,405000,389000,379950,342450,359000,335000,337450,299900,325000,321500,324500,319000,334450,324000,362450,359900,349900,326904,359000,359000,332000,389900
"Jamaica Plain","Boston","MA","Boston","Suffolk",191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,499000,499000,509500,539000,560000,525000,549450,571950,589000,581500,544000
"Woodhaven","New York","NY","New York","Queens",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,404999.5,429900,419900,429000,429000,434000,438500,429000,448500,449000,459000,450000,459500,459450,469000,467000,455000,457000,479000,479000,499000,499999,499000,499000,509000,499000,499000,499000
"River Oaks-Kirby-Balmoral","Memphis","TN","Memphis","Shelby",193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187450,204900,222900,247500,250000,237500,234950,197450,187450,169900,159000,169945,176500,172495,168200,194700,199500,218500,229200,202450,184900,186900,204000,209500,182200
"Newhall","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365000,355000,355000,361512,349000,360000,390642,415332,416404,404950,419000,410000,415000,390000,415000,426052,414999.5,439999.5,399000,420000,420000,429900,429925,415000,431800,439650,425000,412000,426450
"Inwood","New York","NY","New York","New York",195,344000,333000,334000,344000,334000,334000,339000,329000,329000,319000,319000,319000,319000,329000,315000,329000,319000,299000,299000,289000,289250,317000,286500,272250,252500,277000,289000,289000,289000,289000,287500,279000,279000,277000,279000,277000,275000,275000,275000,282600,279000,299900,289000,314450,279000,282000,314450,311950,3e+05,295000,299000,304000,312500,314000,295000,295000,319500,329000,342250,342250,327000,335000,332000,320000,329000,334950,339000,345000,334950,335000,339000,339000,344000,344000,339000
