neighborhood_id,tract_year,tract_id,percent_inside
176,1990,201.0,0.02
154,1990,201.0,0.042
195,1990,201.0,33.707
228,1990,201.0,0
12,1990,201.0,0.005
255,1990,201.0,19.596
366,1990,308.01,58.959
97,1990,308.01,41.041
366,1990,319.04,0
97,1990,319.04,100
128,1990,240.0,97.882
123,1990,240.0,1.572
148,1990,240.0,0.002
24,1990,327.0,0.001
229,1990,327.0,0.019
250,1990,327.0,0.001
81,1990,327.0,0.549
442,1990,327.0,99.377
372,1990,82.01,0
329,1990,82.01,0.052
344,1990,82.01,97.674
437,1990,82.01,0.115
314,1990,82.01,2.159
238,1990,409.02,0.913
236,1990,409.02,32.572
211,1990,409.02,66.514
214,1990,409.02,0.002
152,1990,407.02,0.006
234,1990,407.02,0.005
208,1990,407.02,9.012
243,1990,407.02,88.276
206,1990,407.02,0
204,1990,407.02,0.014
242,1990,407.02,0.168
207,1990,407.02,0.046
173,1990,17.01,0.059
320,1990,17.01,9.237
325,1990,17.01,8.499
314,1990,17.01,82.205
42,1990,46.01,0.141
349,1990,46.01,0.7
326,1990,46.01,0.023
264,1990,46.01,29.814
263,1990,46.01,34.521
268,1990,46.01,26.111
316,1990,46.01,6.212
358,1990,46.01,0.01
428,1990,46.01,0.013
429,1990,46.01,0.278
430,1990,46.01,2.178
319,1990,19.0,0.025
315,1990,19.0,94.621
293,1990,19.0,0.181
328,1990,19.0,0
281,1990,19.0,0
320,1990,19.0,5.172
352,1990,20.0,17.71
319,1990,20.0,79.924
315,1990,20.0,2.366
173,1990,81.0,0.193
282,1990,81.0,0.045
289,1990,81.0,0
344,1990,81.0,92.44
314,1990,81.0,7.186
310,1990,81.0,0.135
173,1990,17.02,0.394
314,1990,17.02,99.606
358,1990,48.0,99.99
430,1990,48.0,0.01
315,1990,18.01,0.007
281,1990,18.01,1.187
320,1990,18.01,98.745
325,1990,18.01,0.061
289,1990,93.0,0
344,1990,93.0,61.447
323,1990,93.0,18.441
342,1990,93.0,0.043
36,1990,93.0,16.581
101,1990,93.0,1.615
418,1990,93.0,1.426
412,1990,324.03,100
302,1990,314.01,67.093
17,1990,314.01,20.485
69,1990,314.01,3.741
46,1990,314.01,8.681
324,1990,21.0,0.055
352,1990,21.0,44.479
345,1990,21.0,0.518
319,1990,21.0,53.886
311,1990,21.0,1.062
105,1990,69.0,0.069
18,1990,69.0,0.006
42,1990,69.0,14.658
349,1990,69.0,50.863
264,1990,69.0,0.161
268,1990,69.0,0.01
39,1990,69.0,0.041
428,1990,69.0,0.016
429,1990,69.0,31.19
346,1990,69.0,0.009
