GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ABDOE001,ABDOE002,ABDOE003,ABDOE004,ABDOE005,ABDOE006,ABDOE007,ABDOE008,ABDOE009,ABDOE010,ABDOE011,ABDOE012,ABDOE013,ABDOE014,ABDOE015,ABDOE016,ABDOE017,ABDPE001,NAME_M,ABDOM001,ABDOM002,ABDOM003,ABDOM004,ABDOM005,ABDOM006,ABDOM007,ABDOM008,ABDOM009,ABDOM010,ABDOM011,ABDOM012,ABDOM013,ABDOM014,ABDOM015,ABDOM016,ABDOM017,ABDPM001,GEOID10
"G41000109504002","2010-2014",,,"Oregon","41","Baker County","001",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9504, Baker County, Oregon",309,6,15,33,9,39,15,37,21,10,33,60,24,0,7,0,0,40089,"Block Group 2, Census Tract 9504, Baker County, Oregon",76,9,16,35,14,25,25,34,19,16,27,53,23,12,13,12,12,11163,"410019504002"
"G41000109504003","2010-2014",,,"Oregon","41","Baker County","001",,,"950400","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9504, Baker County, Oregon",287,43,51,7,13,9,29,18,0,29,22,52,8,0,0,6,0,32875,"Block Group 3, Census Tract 9504, Baker County, Oregon",65,26,44,10,15,13,27,20,12,37,34,36,12,12,12,9,12,13369,"410019504003"
"G41000109505001","2010-2014",,,"Oregon","41","Baker County","001",,,"950500","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9505, Baker County, Oregon",841,61,75,41,88,20,78,50,86,49,102,70,80,12,0,0,29,40408,"Block Group 1, Census Tract 9505, Baker County, Oregon",73,35,60,32,38,16,44,37,50,37,52,32,40,13,12,12,19,4291,"410019505001"
"G41000109505002","2010-2014",,,"Oregon","41","Baker County","001",,,"950500","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9505, Baker County, Oregon",267,4,64,46,16,18,4,0,37,24,22,8,24,0,0,0,0,25486,"Block Group 2, Census Tract 9505, Baker County, Oregon",52,8,38,40,14,17,7,12,29,20,27,11,23,12,12,12,12,18243,"410019505002"
"G41000109506001","2010-2014",,,"Oregon","41","Baker County","001",,,"950600","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9506, Baker County, Oregon",208,4,14,0,13,14,0,5,15,23,12,15,8,48,27,3,7,65909,"Block Group 1, Census Tract 9506, Baker County, Oregon",55,6,11,12,13,17,12,7,11,15,11,13,9,38,34,5,7,45531,"410019506001"
"G41000109506002","2010-2014",,,"Oregon","41","Baker County","001",,,"950600","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9506, Baker County, Oregon",299,49,37,24,20,32,27,20,11,3,23,19,26,5,1,2,0,28162,"Block Group 2, Census Tract 9506, Baker County, Oregon",60,26,23,14,16,23,15,19,10,4,15,16,22,7,2,3,12,4074,"410019506002"
"G41000109506003","2010-2014",,,"Oregon","41","Baker County","001",,,"950600","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9506, Baker County, Oregon",383,44,20,26,50,28,39,22,32,26,21,41,21,9,0,0,4,33924,"Block Group 3, Census Tract 9506, Baker County, Oregon",65,31,24,20,28,17,22,24,15,25,15,29,15,9,12,12,7,4909,"410019506003"
"G41000300001001","2010-2014",,,"Oregon","41","Benton County","003",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Benton County, Oregon",693,73,0,80,55,48,30,126,29,13,26,33,100,25,55,0,0,38700,"Block Group 1, Census Tract 1, Benton County, Oregon",149,71,12,75,66,47,33,112,47,21,29,38,69,39,55,12,12,4214,"410030001001"
"G41000300001002","2010-2014",,,"Oregon","41","Benton County","003",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Benton County, Oregon",739,50,50,123,7,0,34,67,138,19,50,8,138,22,0,33,0,42292,"Block Group 2, Census Tract 1, Benton County, Oregon",134,42,60,81,14,12,33,66,99,21,49,13,111,28,12,47,12,5993,"410030001002"
"G41000300001003","2010-2014",,,"Oregon","41","Benton County","003",,,"000100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1, Benton County, Oregon",604,21,20,21,77,14,12,36,54,60,23,33,75,37,42,41,38,48879,"Block Group 3, Census Tract 1, Benton County, Oregon",103,27,34,26,53,18,17,42,48,48,27,38,66,39,49,57,40,14473,"410030001003"
"G41000300001004","2010-2014",,,"Oregon","41","Benton County","003",,,"000100","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 1, Benton County, Oregon",1025,84,54,96,25,28,78,63,80,39,47,136,149,108,38,0,0,45625,"Block Group 4, Census Tract 1, Benton County, Oregon",141,46,49,78,30,23,57,48,81,43,41,84,83,77,31,12,12,9637,"410030001004"
"G41000300002021","2010-2014",,,"Oregon","41","Benton County","003",,,"000202","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2.02, Benton County, Oregon",633,34,0,0,14,40,0,18,0,91,15,43,76,40,64,107,91,92734,"Block Group 1, Census Tract 2.02, Benton County, Oregon",118,54,12,12,23,36,12,27,12,118,23,40,55,38,53,69,50,50221,"410030002021"
"G41000300002022","2010-2014",,,"Oregon","41","Benton County","003",,,"000202","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2.02, Benton County, Oregon",1598,189,63,111,97,31,134,50,56,100,127,221,107,173,86,20,33,47429,"Block Group 2, Census Tract 2.02, Benton County, Oregon",155,110,48,79,56,35,90,33,47,57,70,104,60,82,56,27,37,6264,"410030002022"
