GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,GEOID10
"G41006700311002","2010","Oregon","41","Washington County","067","031100","2",468.00,468,468,450,7.00,7,7,28,3.00,3,3,3,23.00,23,23,22,1.00,1,1,1,72.00,72,72,133,40.00,40,40,42,"410670311002"
"G41006700312001","2010","Oregon","41","Washington County","067","031200","1",1133.00,1133,1133,1035,18.00,18,18,82,16.00,16,16,19,87.00,87,87,51,1.00,1,1,11,146.00,146,146,295,54.00,54,54,54,"410670312001"
"G41006700312002","2010","Oregon","41","Washington County","067","031200","2",644.00,644,644,465,13.00,13,13,51,3.00,3,3,2,52.00,52,52,50,5.00,5,5,10,239.00,239,239,405,20.00,20,20,51,"410670312002"
"G41006700312003","2010","Oregon","41","Washington County","067","031200","3",1847.00,1847,1847,1943,73.00,73,73,125,26.00,26,26,35,212.00,212,212,225,19.00,19,19,10,183.00,183,183,381,98.00,98,98,129,"410670312003"
"G41006700312004","2010","Oregon","41","Washington County","067","031200","4",1423.00,1423,1423,1118,26.00,26,26,50,7.00,7,7,20,148.00,148,148,83,7.00,7,7,2,142.00,142,142,379,77.00,77,77,56,"410670312004"
"G41006700313001","2010","Oregon","41","Washington County","067","031300","1",872.00,872,872,1059,73.00,73,73,49,24.00,24,24,28,126.00,126,126,135,6.00,6,6,3,649.00,649,649,568,96.00,96,96,77,"410670313001"
"G41006700313002","2010","Oregon","41","Washington County","067","031300","2",1259.00,1259,1259,1379,34.00,34,34,54,13.00,13,13,8,165.00,165,165,115,2.00,2,2,17,89.00,89,89,77,61.00,61,61,102,"410670313002"
"G41006700313003","2010","Oregon","41","Washington County","067","031300","3",1102.00,1102,1102,1160,26.00,26,26,32,7.00,7,7,15,83.00,83,83,60,2.00,2,2,7,275.00,275,275,333,71.00,71,71,112,"410670313003"
"G41006700313004","2010","Oregon","41","Washington County","067","031300","4",1264.00,1264,1264,1342,31.00,31,31,57,22.00,22,22,11,93.00,93,93,173,11.00,11,11,14,81.00,81,81,108,72.00,72,72,106,"410670313004"
"G41006700314021","2010","Oregon","41","Washington County","067","031402","1",878.79,876,1526,763,9.10,9,32,40,21.01,21,23,20,78.58,78,214,103,0.01,0,2,8,124.06,124,139,363,36.14,36,68,88,"410670314021"
"G41006700314022","2010","Oregon","41","Washington County","067","031402","2",1130.21,483,1133,1108,36.90,14,37,64,5.99,4,6,14,213.42,78,214,195,6.99,5,7,6,30.94,16,31,47,56.86,25,57,92,"410670314022"
"G41006700314031","2010","Oregon","41","Washington County","067","031403","1",793.00,793,793,774,6.00,6,6,5,4.00,4,4,23,30.00,30,30,16,0.00,0,0,6,53.00,53,53,114,43.00,43,43,36,"410670314031"
"G41006700314032","2010","Oregon","41","Washington County","067","031403","2",1664.00,1664,1664,1625,46.00,46,46,33,13.00,13,13,19,105.00,105,105,166,8.00,8,8,5,96.00,96,96,253,73.00,73,73,147,"410670314032"
"G41006700314033","2010","Oregon","41","Washington County","067","031403","3",1374.00,1374,1374,1274,18.00,18,18,14,5.00,5,5,13,99.00,99,99,99,5.00,5,5,15,75.00,75,75,170,55.00,55,55,83,"410670314033"
"G41006700314041","2010","Oregon","41","Washington County","067","031404","1",1175.00,1175,1175,1160,18.00,18,18,20,5.00,5,5,5,59.00,59,59,59,11.00,11,11,6,33.00,33,33,42,51.00,51,51,66,"410670314041"
"G41006700314042","2010","Oregon","41","Washington County","067","031404","2",703.00,703,703,685,5.00,5,5,6,6.00,6,6,7,24.00,24,24,26,0.00,0,0,1,5.00,5,5,13,29.00,29,29,20,"410670314042"
"G41006700314043","2010","Oregon","41","Washington County","067","031404","3",1522.00,1522,1522,993,44.00,44,44,26,12.00,12,12,17,130.00,130,130,86,8.00,8,8,0,342.00,342,342,426,79.00,79,79,76,"410670314043"
"G41006700314044","2010","Oregon","41","Washington County","067","031404","4",919.00,919,919,868,9.00,9,9,12,11.00,11,11,9,42.00,42,42,39,0.00,0,0,1,25.00,25,25,26,17.00,17,17,33,"410670314044"
"G41006700315041","2010","Oregon","41","Washington County","067","031504","1",1464.00,1464,1464,1338,4.00,4,4,18,8.00,8,8,18,87.00,87,87,102,0.00,0,0,5,12.00,12,12,28,40.00,40,40,38,"410670315041"
"G41006700315042","2010","Oregon","41","Washington County","067","031504","2",976.00,976,976,917,12.00,12,12,1,2.00,2,2,1,39.00,39,39,43,3.00,3,3,13,31.00,31,31,25,22.00,22,22,29,"410670315042"
"G41006700315043","2010","Oregon","41","Washington County","067","031504","3",940.00,940,940,804,20.00,20,20,30,8.00,8,8,6,65.00,65,65,39,4.00,4,4,2,49.00,49,49,66,49.00,49,49,86,"410670315043"
"G41006700315044","2010","Oregon","41","Washington County","067","031504","4",2093.00,2093,2093,2243,15.00,15,15,36,12.00,12,12,17,130.00,130,130,194,10.00,10,10,12,34.00,34,34,26,61.00,61,61,122,"410670315044"
"G41006700315061","2010","Oregon","41","Washington County","067","031506","1",1203.00,1203,1203,1191,2.00,2,2,7,3.00,3,3,5,128.00,128,128,142,9.00,9,9,4,13.00,13,13,10,49.00,49,49,70,"410670315061"
"G41006700315062","2010","Oregon","41","Washington County","067","031506","2",2030.00,2030,2030,1915,33.00,33,33,57,14.00,14,14,14,169.00,169,169,121,8.00,8,8,7,134.00,134,134,161,85.00,85,85,91,"410670315062"
"G41006700315071","2010","Oregon","41","Washington County","067","031507","1",1919.00,1919,1919,2137,8.00,8,8,5,3.00,3,3,5,187.00,187,187,468,0.00,0,0,4,18.00,18,18,17,46.00,46,46,116,"410670315071"
"G41006700315072","2010","Oregon","41","Washington County","067","031507","2",988.00,988,988,910,8.00,8,8,8,2.00,2,2,0,42.00,42,42,51,0.00,0,0,6,2.00,2,2,8,24.00,24,24,26,"410670315072"
"G41006700315073","2010","Oregon","41","Washington County","067","031507","3",1319.00,1319,1319,1057,32.00,32,32,45,23.00,23,23,6,118.00,118,118,84,6.00,6,6,3,145.00,145,145,138,94.00,94,94,59,"410670315073"
"G41006700315081","2010","Oregon","41","Washington County","067","031508","1",1405.92,1377,1499,1614,3.00,3,3,6,1.00,1,1,6,87.13,82,103,238,3.00,3,3,6,13.17,13,14,23,31.22,30,37,72,"410670315081"
"G41006700315082","2010","Oregon","41","Washington County","067","031508","2",1144.07,476,1151,1354,6.96,3,7,3,1.99,1,2,1,129.05,37,130,253,1.99,1,2,2,2.98,1,3,23,40.68,10,41,77,"410670315082"
"G41006700315083","2010","Oregon","41","Washington County","067","031508","3",900.00,900,900,812,22.00,22,22,24,5.00,5,5,8,73.00,73,73,79,2.00,2,2,4,27.00,27,27,26,32.00,32,32,47,"410670315083"
"G41006700315084","2010","Oregon","41","Washington County","067","031508","4",829.82,787,912,995,0.00,0,1,6,8.99,7,9,0,149.97,143,161,266,1.00,1,1,0,3.00,3,3,7,21.98,17,22,65,"410670315084"
"G41006700315085","2010","Oregon","41","Washington County","067","031508","5",723.93,717,1392,1111,1.04,1,5,7,1.01,1,2,2,76.95,76,169,315,2.01,2,3,1,7.02,7,9,6,10.32,10,41,48,"410670315085"
"G41006700315091","2010","Oregon","41","Washington County","067","031509","1",1040.98,1024,1041,1790,16.00,16,16,77,4.00,3,4,23,190.00,187,190,452,1.00,1,1,12,17.00,17,17,112,68.00,64,68,147,"410670315091"
"G41006700315092","2010","Oregon","41","Washington County","067","031509","2",579.98,559,597,514,0.00,0,0,3,0.00,0,1,5,10.00,10,13,32,0.00,0,0,1,4.00,4,4,15,19.00,19,23,19,"410670315092"
"G41006700315111","2010","Oregon","41","Washington County","067","031511","1",1975.00,1975,1975,1771,23.00,23,23,31,8.00,8,8,11,291.00,291,291,346,6.00,6,6,0,17.00,17,17,25,74.00,74,74,119,"410670315111"
"G41006700315112","2010","Oregon","41","Washington County","067","031511","2",620.00,620,620,537,5.00,5,5,10,6.00,6,6,7,97.00,97,97,58,3.00,3,3,1,64.00,64,64,115,36.00,36,36,40,"410670315112"
"G41006700315121","2010","Oregon","41","Washington County","067","031512","1",670.00,670,670,654,2.00,2,2,3,6.00,6,6,8,60.00,60,60,67,0.00,0,0,1,21.00,21,21,7,19.00,19,19,29,"410670315121"
"G41006700315122","2010","Oregon","41","Washington County","067","031512","2",1423.00,1423,1423,2100,14.00,14,14,65,7.00,7,7,4,249.00,249,249,1040,1.00,1,1,19,23.00,23,23,73,43.00,43,43,142,"410670315122"
"G41006700315123","2010","Oregon","41","Washington County","067","031512","3",1778.00,1778,1778,2229,65.00,65,65,41,9.00,9,9,4,642.00,642,642,819,3.00,3,3,18,81.00,81,81,65,61.00,61,61,147,"410670315123"
"G41006700315131","2010","Oregon","41","Washington County","067","031513","1",1254.00,1254,1254,2060,20.00,20,20,59,0.00,0,0,4,403.00,403,403,1577,1.00,1,1,1,14.00,14,14,26,32.00,32,32,150,"410670315131"
"G41006700315132","2010","Oregon","41","Washington County","067","031513","2",1581.00,1581,1581,1754,29.00,29,29,44,5.00,5,5,6,569.00,569,569,776,2.00,2,2,2,15.00,15,15,12,59.00,59,59,86,"410670315132"
"G41006700315133","2010","Oregon","41","Washington County","067","031513","3",1614.00,1614,1614,2352,20.00,20,20,50,7.00,7,7,10,487.00,487,487,2184,3.00,3,3,2,36.00,36,36,66,87.00,87,87,178,"410670315133"
"G41006700315141","2010","Oregon","41","Washington County","067","031514","1",836.00,836,836,745,16.00,16,16,32,1.00,1,1,5,498.00,498,498,533,1.00,1,1,5,33.00,33,33,40,32.00,32,32,65,"410670315141"
"G41006700315142","2010","Oregon","41","Washington County","067","031514","2",1909.00,1909,1909,2193,27.00,27,27,40,8.00,8,8,8,499.00,499,499,636,10.00,10,10,18,20.00,20,20,28,73.00,73,73,145,"410670315142"
"G41006700315143","2010","Oregon","41","Washington County","067","031514","3",1400.00,1400,1400,1580,22.00,22,22,56,2.00,2,2,5,190.00,190,190,393,1.00,1,1,3,17.00,17,17,36,25.00,25,25,68,"410670315143"
"G41006700316061","2010","Oregon","41","Washington County","067","031606","1",1269.00,1269,1269,1325,6.00,6,6,39,13.00,13,13,18,71.00,71,71,237,1.00,1,1,1,77.00,77,77,206,58.00,58,58,89,"410670316061"
"G41006700316062","2010","Oregon","41","Washington County","067","031606","2",1326.00,1326,1326,1421,54.00,54,54,118,20.00,20,20,30,197.00,197,197,188,5.00,5,5,6,144.00,144,144,308,105.00,105,105,176,"410670316062"
"G41006700316063","2010","Oregon","41","Washington County","067","031606","3",1476.00,1476,1476,1350,49.00,49,49,135,11.00,11,11,25,144.00,144,144,158,1.00,1,1,17,73.00,73,73,224,76.00,76,76,103,"410670316063"
"G41006700316091","2010","Oregon","41","Washington County","067","031609","1",1578.00,1578,1578,947,32.00,32,32,38,6.00,6,6,10,148.00,148,148,102,6.00,6,6,5,64.00,64,64,38,53.00,53,53,30,"410670316091"
"G41006700316092","2010","Oregon","41","Washington County","067","031609","2",1186.79,875,1471,2353,93.60,80,106,223,22.14,19,25,38,212.14,175,246,343,8.75,3,14,29,95.10,59,128,404,125.16,99,149,227,"410670316092"
"G41006700316093","2010","Oregon","41","Washington County","067","031609","3",1000.00,1000,1000,1584,9.00,9,9,43,7.00,7,7,16,98.00,98,98,271,1.00,1,1,9,33.00,33,33,70,38.00,38,38,104,"410670316093"
"G41006700316094","2010","Oregon","41","Washington County","067","031609","4",572.21,288,884,1124,29.40,17,43,122,6.86,4,10,9,66.86,33,104,158,13.25,8,19,8,50.90,18,87,84,53.84,30,80,79,"410670316094"
"G41006700316101","2010","Oregon","41","Washington County","067","031610","1",844.00,844,844,767,16.00,16,16,10,3.00,3,3,2,113.00,113,113,113,5.00,5,5,8,7.00,7,7,24,23.00,23,23,28,"410670316101"
"G41006700316102","2010","Oregon","41","Washington County","067","031610","2",1094.57,271,1103,1039,53.46,1,54,40,5.96,2,6,13,175.63,42,177,140,17.82,0,18,5,74.33,9,75,109,49.55,6,50,66,"410670316102"
"G41006700316103","2010","Oregon","41","Washington County","067","031610","3",734.00,734,734,697,16.00,16,16,8,10.00,10,10,16,52.00,52,52,38,10.00,10,10,5,29.00,29,29,130,18.00,18,18,41,"410670316103"
"G41006700316104","2010","Oregon","41","Washington County","067","031610","4",1755.00,1755,1755,1830,36.00,36,36,83,24.00,24,24,21,272.00,272,272,503,5.00,5,5,26,71.00,71,71,273,112.00,112,112,127,"410670316104"
"G41006700316105","2010","Oregon","41","Washington County","067","031610","5",745.43,737,1569,1020,21.54,21,74,44,2.04,2,6,10,117.37,116,251,91,2.18,2,20,1,10.67,10,76,50,20.45,20,64,80,"410670316105"
"G41006700316111","2010","Oregon","41","Washington County","067","031611","1",1797.00,1797,1797,1828,21.00,21,21,46,10.00,10,10,14,748.00,748,748,526,8.00,8,8,3,19.00,19,19,41,110.00,110,110,85,"410670316111"
"G41006700316112","2010","Oregon","41","Washington County","067","031611","2",1509.00,1509,1509,1536,82.00,82,82,106,4.00,4,4,9,870.00,870,870,1487,4.00,4,4,3,61.00,61,61,124,105.00,105,105,141,"410670316112"
"G41006700316113","2010","Oregon","41","Washington County","067","031611","3",753.00,753,753,774,7.00,7,7,32,4.00,4,4,0,143.00,143,143,223,0.00,0,0,6,70.00,70,70,109,19.00,19,19,54,"410670316113"
"G41006700316121","2010","Oregon","41","Washington County","067","031612","1",1186.00,1186,1186,2138,32.00,32,32,119,11.00,11,11,17,198.00,198,198,419,8.00,8,8,10,101.00,101,101,220,53.00,53,53,251,"410670316121"
"G41006700316131","2010","Oregon","41","Washington County","067","031613","1",992.00,992,992,1032,9.00,9,9,14,9.00,9,9,16,40.00,40,40,94,4.00,4,4,10,28.00,28,28,64,30.00,30,30,71,"410670316131"
"G41006700316132","2010","Oregon","41","Washington County","067","031613","2",732.00,732,732,635,3.00,3,3,17,4.00,4,4,9,19.00,19,19,60,8.00,8,8,5,313.00,313,313,249,20.00,20,20,72,"410670316132"
"G41006700316133","2010","Oregon","41","Washington County","067","031613","3",1113.00,1113,1113,1174,20.00,20,20,55,11.00,11,11,30,104.00,104,104,168,13.00,13,13,9,161.00,161,161,257,67.00,67,67,124,"410670316133"
"G41006700316134","2010","Oregon","41","Washington County","067","031613","4",876.00,876,876,1738,44.00,44,44,250,14.00,14,14,22,137.00,137,137,268,1.00,1,1,7,170.00,170,170,319,31.00,31,31,133,"410670316134"
"G41006700316141","2010","Oregon","41","Washington County","067","031614","1",1164.00,1164,1164,1017,26.00,26,26,26,10.00,10,10,20,301.00,301,301,326,9.00,9,9,9,62.00,62,62,166,68.00,68,68,62,"410670316141"
"G41006700316142","2010","Oregon","41","Washington County","067","031614","2",1749.00,1749,1749,2160,40.00,40,40,122,16.00,16,16,30,348.00,348,348,491,24.00,24,24,15,88.00,88,88,248,100.00,100,100,209,"410670316142"
"G41006700316151","2010","Oregon","41","Washington County","067","031615","1",1052.00,1052,1052,1085,20.00,20,20,31,17.00,17,17,18,71.00,71,71,70,3.00,3,3,15,356.00,356,356,480,50.00,50,50,56,"410670316151"
"G41006700316152","2010","Oregon","41","Washington County","067","031615","2",1085.00,1085,1085,939,16.00,16,16,14,12.00,12,12,9,165.00,165,165,121,12.00,12,12,26,62.00,62,62,139,50.00,50,50,67,"410670316152"
"G41006700316153","2010","Oregon","41","Washington County","067","031615","3",1071.00,1071,1071,969,11.00,11,11,11,5.00,5,5,16,182.00,182,182,222,3.00,3,3,5,49.00,49,49,106,68.00,68,68,65,"410670316153"
"G41006700316154","2010","Oregon","41","Washington County","067","031615","4",802.00,802,802,748,4.00,4,4,7,9.00,9,9,9,55.00,55,55,85,2.00,2,2,4,31.00,31,31,72,26.00,26,26,41,"410670316154"
"G41006700316161","2010","Oregon","41","Washington County","067","031616","1",346.21,238,1638,851,10.55,7,48,26,12.41,7,34,14,97.23,64,453,247,6.83,6,19,5,20.57,12,74,26,25.42,19,119,63,"410670316161"
"G41006700316162","2010","Oregon","41","Washington County","067","031616","2",1291.79,0,1400,1329,37.45,0,41,40,21.59,0,27,23,355.77,0,389,216,12.17,0,13,9,53.43,0,62,167,93.58,0,100,96,"410670316162"
"G41006700316171","2010","Oregon","41","Washington County","067","031617","1",684.22,570,942,814,33.91,29,45,45,3.31,3,4,7,220.87,196,277,351,5.61,5,7,4,30.07,27,37,47,39.98,32,58,89,"410670316171"
"G41006700316172","2010","Oregon","41","Washington County","067","031617","2",909.78,652,1024,1170,28.09,17,33,92,4.69,4,5,11,219.13,163,244,302,2.39,1,3,10,51.93,45,55,73,53.02,35,61,133,"410670316172"
"G41006700316173","2010","Oregon","41","Washington County","067","031617","3",451.00,451,451,738,8.00,8,8,37,1.00,1,1,3,117.00,117,117,125,4.00,4,4,7,12.00,12,12,84,26.00,26,26,52,"410670316173"
"G41006700316174","2010","Oregon","41","Washington County","067","031617","4",969.00,969,969,375,38.00,38,38,13,10.00,10,10,0,360.00,360,360,87,3.00,3,3,0,58.00,58,58,13,52.00,52,52,34,"410670316174"
"G41006700317031","2010","Oregon","41","Washington County","067","031703","1",1236.00,1236,1236,1156,15.00,15,15,10,13.00,13,13,12,77.00,77,77,106,4.00,4,4,9,121.00,121,121,252,45.00,45,45,73,"410670317031"
"G41006700317032","2010","Oregon","41","Washington County","067","031703","2",787.00,787,787,726,9.00,9,9,19,19.00,19,19,11,38.00,38,38,34,3.00,3,3,6,22.00,22,22,61,33.00,33,33,42,"410670317032"
"G41006700317033","2010","Oregon","41","Washington County","067","031703","3",1752.71,1751,1810,1568,37.00,37,37,39,14.00,14,14,25,179.00,179,179,208,10.00,10,10,7,99.00,99,99,203,79.00,79,79,114,"410670317033"
"G41006700317041","2010","Oregon","41","Washington County","067","031704","1",1368.00,1368,1368,1317,17.00,17,17,27,11.00,11,11,17,99.00,99,99,139,9.00,9,9,7,24.00,24,24,79,80.00,80,80,59,"410670317041"
"G41006700317042","2010","Oregon","41","Washington County","067","031704","2",976.00,976,976,949,7.00,7,7,27,1.00,1,1,7,60.00,60,60,66,0.00,0,0,2,25.00,25,25,60,30.00,30,30,39,"410670317042"
"G41006700317043","2010","Oregon","41","Washington County","067","031704","3",797.00,797,797,770,9.00,9,9,19,4.00,4,4,6,29.00,29,29,57,5.00,5,5,8,212.00,212,212,163,14.00,14,14,66,"410670317043"
"G41006700317044","2010","Oregon","41","Washington County","067","031704","4",824.00,824,824,777,4.00,4,4,7,9.00,9,9,14,38.00,38,38,39,2.00,2,2,1,43.00,43,43,115,34.00,34,34,31,"410670317044"
"G41006700317045","2010","Oregon","41","Washington County","067","031704","5",739.00,739,739,716,1.00,1,1,15,10.00,10,10,10,25.00,25,25,43,3.00,3,3,0,21.00,21,21,64,37.00,37,37,36,"410670317045"
"G41006700317046","2010","Oregon","41","Washington County","067","031704","6",1012.00,1012,1012,1976,19.00,19,19,94,7.00,7,7,18,33.00,33,33,244,2.00,2,2,5,66.00,66,66,158,38.00,38,38,132,"410670317046"
"G41006700317051","2010","Oregon","41","Washington County","067","031705","1",584.00,584,584,722,12.00,12,12,45,21.00,21,21,28,52.00,52,52,76,3.00,3,3,6,54.00,54,54,399,51.00,51,51,69,"410670317051"
"G41006700317052","2010","Oregon","41","Washington County","067","031705","2",1441.00,1441,1441,1445,53.00,53,53,59,14.00,14,14,24,128.00,128,128,148,5.00,5,5,7,117.00,117,117,372,82.00,82,82,109,"410670317052"
"G41006700317053","2010","Oregon","41","Washington County","067","031705","3",1004.00,1004,1004,1030,26.00,26,26,38,20.00,20,20,13,48.00,48,48,68,2.00,2,2,21,88.00,88,88,154,32.00,32,32,58,"410670317053"
"G41006700317061","2010","Oregon","41","Washington County","067","031706","1",1587.00,1587,1587,1621,87.00,87,87,116,21.00,21,21,29,387.00,387,387,299,29.00,29,29,19,212.00,212,212,472,143.00,143,143,163,"410670317061"
"G41006700317062","2010","Oregon","41","Washington County","067","031706","2",558.00,558,558,604,15.00,15,15,36,1.00,1,1,17,90.00,90,90,64,4.00,4,4,9,180.00,180,180,95,33.00,33,33,42,"410670317062"
"G41006700317063","2010","Oregon","41","Washington County","067","031706","3",914.00,914,914,968,5.00,5,5,39,7.00,7,7,15,92.00,92,92,117,0.00,0,0,2,95.00,95,95,264,48.00,48,48,39,"410670317063"
"G41006700318041","2010","Oregon","41","Washington County","067","031804","1",1569.00,1569,1569,1676,30.00,30,30,50,7.00,7,7,9,103.00,103,103,222,6.00,6,6,6,72.00,72,72,99,61.00,61,61,97,"410670318041"
"G41006700318042","2010","Oregon","41","Washington County","067","031804","2",2283.00,2283,2283,2601,33.00,33,33,80,20.00,20,20,19,206.00,206,206,466,4.00,4,4,3,74.00,74,74,269,66.00,66,66,154,"410670318042"
"G41006700318051","2010","Oregon","41","Washington County","067","031805","1",933.00,933,933,1096,34.00,34,34,20,11.00,11,11,6,78.00,78,78,97,7.00,7,7,3,1.00,1,1,40,33.00,33,33,63,"410670318051"
"G41006700318052","2010","Oregon","41","Washington County","067","031805","2",1913.00,1913,1913,2464,33.00,33,33,61,10.00,10,10,13,267.00,267,267,463,9.00,9,9,23,21.00,21,21,47,60.00,60,60,146,"410670318052"
"G41006700318053","2010","Oregon","41","Washington County","067","031805","3",790.00,790,790,763,2.00,2,2,4,7.00,7,7,11,81.00,81,81,62,1.00,1,1,1,60.00,60,60,72,29.00,29,29,58,"410670318053"
"G41006700318054","2010","Oregon","41","Washington County","067","031805","4",1349.00,1349,1349,1267,13.00,13,13,27,5.00,5,5,0,123.00,123,123,101,1.00,1,1,6,22.00,22,22,36,55.00,55,55,52,"410670318054"
"G41006700318061","2010","Oregon","41","Washington County","067","031806","1",992.00,992,992,1002,14.00,14,14,76,1.00,1,1,7,88.00,88,88,138,2.00,2,2,2,149.00,149,149,255,44.00,44,44,89,"410670318061"
"G41006700318062","2010","Oregon","41","Washington County","067","031806","2",1077.00,1077,1077,992,17.00,17,17,13,2.00,2,2,7,63.00,63,63,49,1.00,1,1,1,25.00,25,25,27,28.00,28,28,27,"410670318062"
"G41006700318063","2010","Oregon","41","Washington County","067","031806","3",2183.00,2183,2183,2151,21.00,21,21,54,20.00,20,20,15,320.00,320,320,344,1.00,1,1,7,53.00,53,53,114,102.00,102,102,135,"410670318063"
"G41006700318071","2010","Oregon","41","Washington County","067","031807","1",1337.20,1305,1339,1346,45.00,45,45,49,8.00,8,8,9,123.00,123,123,135,4.00,4,4,7,52.00,52,52,160,42.00,42,42,69,"410670318071"
"G41006700318072","2010","Oregon","41","Washington County","067","031807","2",1579.13,1577,1613,1562,36.00,36,36,13,20.00,20,20,21,174.00,174,174,177,2.16,2,3,10,37.00,37,37,38,56.16,56,57,45,"410670318072"
"G41006700318121","2010","Oregon","41","Washington County","067","031812","1",922.11,324,1625,1743,53.18,21,91,62,12.60,8,18,10,141.03,90,201,401,6.90,0,15,4,23.17,8,41,40,67.75,25,118,121,"410670318121"
"G41006700318122","2010","Oregon","41","Washington County","067","031812","2",1380.89,678,1979,2504,51.82,14,84,99,14.40,9,19,11,116.97,57,168,200,15.10,7,22,20,39.83,22,55,98,72.25,22,115,166,"410670318122"
"G41006700318131","2010","Oregon","41","Washington County","067","031813","1",2239.00,2239,2239,2636,26.00,26,26,58,8.00,8,8,20,400.00,400,400,634,6.00,6,6,1,23.00,23,23,26,101.00,101,101,141,"410670318131"
"G41006700318132","2010","Oregon","41","Washington County","067","031813","2",1741.00,1741,1741,1719,28.00,28,28,46,10.00,10,10,10,268.00,268,268,249,6.00,6,6,5,28.00,28,28,58,76.00,76,76,118,"410670318132"
"G41006700318141","2010","Oregon","41","Washington County","067","031814","1",778.71,778,865,756,22.00,22,22,11,0.00,0,0,0,137.12,137,152,113,4.00,4,4,1,7.07,7,16,28,41.00,41,41,39,"410670318141"
"G41006700318142","2010","Oregon","41","Washington County","067","031814","2",2240.57,2149,2269,2397,30.00,30,30,26,7.00,7,7,9,340.00,324,346,441,3.00,3,3,6,47.93,39,48,36,75.00,75,75,129,"410670318142"
"G41006700318151","2010","Oregon","41","Washington County","067","031815","1",1207.72,1180,1213,1581,15.00,15,15,55,5.00,5,5,4,206.88,201,208,338,1.00,1,1,6,10.00,10,10,37,43.00,43,43,78,"410670318151"
"G41006700318152","2010","Oregon","41","Washington County","067","031815","2",1394.00,1394,1394,2153,13.00,13,13,59,6.00,6,6,4,279.00,279,279,564,11.00,11,11,6,21.00,21,21,89,70.00,70,70,156,"410670318152"
"G41006700318153","2010","Oregon","41","Washington County","067","031815","3",1156.00,1156,1156,1066,11.00,11,11,16,4.00,4,4,4,131.00,131,131,123,4.00,4,4,1,1.00,1,1,18,40.00,40,40,64,"410670318153"
"G41006700319041","2010","Oregon","41","Washington County","067","031904","1",1093.00,1093,1093,1172,6.00,6,6,16,4.00,4,4,4,61.00,61,61,96,0.00,0,0,4,14.00,14,14,43,30.00,30,30,26,"410670319041"
"G41006700319042","2010","Oregon","41","Washington County","067","031904","2",1346.00,1346,1346,1290,17.00,17,17,15,15.00,15,15,10,67.00,67,67,77,7.00,7,7,3,55.00,55,55,59,43.00,43,43,65,"410670319042"
"G41006700319071","2010","Oregon","41","Washington County","067","031907","1",644.00,644,644,1184,12.00,12,12,54,1.00,1,1,2,13.00,13,13,152,0.00,0,0,1,23.00,23,23,47,18.00,18,18,49,"410670319071"
"G41006700319072","2010","Oregon","41","Washington County","067","031907","2",720.00,720,720,687,0.00,0,0,4,0.00,0,0,3,8.00,8,8,9,0.00,0,0,5,0.00,0,0,2,5.00,5,5,5,"410670319072"
"G41006700319073","2010","Oregon","41","Washington County","067","031907","3",1020.49,939,1332,913,0.01,0,2,1,2.00,2,2,3,9.01,9,11,15,0.00,0,0,2,1.00,1,1,2,2.94,2,5,9,"410670319073"
"G41006700319074","2010","Oregon","41","Washington County","067","031907","4",742.51,431,824,669,1.99,0,2,2,1.00,1,1,4,8.99,7,9,8,0.00,0,0,1,1.00,1,1,1,3.06,1,4,5,"410670319074"
"G41006700319075","2010","Oregon","41","Washington County","067","031907","5",1366.00,1366,1366,1340,16.00,16,16,23,11.00,11,11,26,43.00,43,43,38,9.00,9,9,5,72.00,72,72,138,55.00,55,55,77,"410670319075"
"G41006700319081","2010","Oregon","41","Washington County","067","031908","1",2198.28,1578,3127,2926,21.88,17,28,63,10.60,6,14,31,72.82,51,117,342,3.32,3,4,3,34.82,18,43,32,44.82,32,72,144,"410670319081"
"G41006700319082","2010","Oregon","41","Washington County","067","031908","2",1699.72,771,2320,2450,14.12,8,19,64,7.40,4,12,3,124.18,80,146,610,0.68,0,1,13,21.18,13,38,95,62.18,35,75,120,"410670319082"
"G41006700319091","2010","Oregon","41","Washington County","067","031909","1",1722.86,1479,1836,2263,16.36,15,19,40,13.35,13,14,20,235.22,228,245,337,3.00,3,3,12,35.75,27,36,32,49.24,48,51,172,"410670319091"
"G41006700319092","2010","Oregon","41","Washington County","067","031909","2",1332.00,1332,1332,1427,13.00,13,13,23,3.00,3,3,0,191.00,191,191,263,1.00,1,1,6,11.00,11,11,17,61.00,61,61,102,"410670319092"
"G41006700319101","2010","Oregon","41","Washington County","067","031910","1",2127.00,2127,2127,3022,25.00,25,25,51,11.00,11,11,35,134.00,134,134,351,4.00,4,4,6,86.00,86,86,86,64.00,64,64,166,"410670319101"
"G41006700319102","2010","Oregon","41","Washington County","067","031910","2",1459.14,1346,1703,1547,34.64,32,36,16,4.65,4,5,7,133.78,124,141,198,0.00,0,0,7,14.25,14,23,19,38.76,37,40,61,"410670319102"
