GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,GEOID10
"G41004300206001","2010","Oregon","41","Linn County","043","020600","1",2306.00,2306,2306,2441,"410430206001"
"G41004300206002","2010","Oregon","41","Linn County","043","020600","2",1651.00,1651,1651,1680,"410430206002"
"G41004300206003","2010","Oregon","41","Linn County","043","020600","3",802.00,802,802,2516,"410430206003"
"G41004300206004","2010","Oregon","41","Linn County","043","020600","4",761.00,761,761,751,"410430206004"
"G41004300206005","2010","Oregon","41","Linn County","043","020600","5",1086.00,1086,1086,1064,"410430206005"
"G41004300207001","2010","Oregon","41","Linn County","043","020700","1",1984.00,1984,1984,2118,"410430207001"
"G41004300207002","2010","Oregon","41","Linn County","043","020700","2",1599.00,1599,1599,1578,"410430207002"
"G41004300207003","2010","Oregon","41","Linn County","043","020700","3",1455.00,1455,1455,1789,"410430207003"
"G41004300208011","2010","Oregon","41","Linn County","043","020801","1",997.00,997,997,1105,"410430208011"
"G41004300208012","2010","Oregon","41","Linn County","043","020801","2",1558.00,1558,1558,1395,"410430208012"
"G41004300208021","2010","Oregon","41","Linn County","043","020802","1",882.09,882,912,1158,"410430208021"
"G41004300208022","2010","Oregon","41","Linn County","043","020802","2",1456.91,1427,1457,1401,"410430208022"
"G41004300208023","2010","Oregon","41","Linn County","043","020802","3",1489.00,1489,1489,1639,"410430208023"
"G41004300208024","2010","Oregon","41","Linn County","043","020802","4",1741.00,1741,1741,1866,"410430208024"
"G41004300301001","2010","Oregon","41","Linn County","043","030100","1",981.00,981,981,1133,"410430301001"
"G41004300301002","2010","Oregon","41","Linn County","043","030100","2",1289.75,1273,1290,1235,"410430301002"
"G41004300301003","2010","Oregon","41","Linn County","043","030100","3",955.00,955,955,977,"410430301003"
"G41004300301004","2010","Oregon","41","Linn County","043","030100","4",1351.00,1351,1351,1357,"410430301004"
"G41004300301005","2010","Oregon","41","Linn County","043","030100","5",1204.00,1204,1204,1235,"410430301005"
"G41004300302001","2010","Oregon","41","Linn County","043","030200","1",691.00,691,691,903,"410430302001"
"G41004300302002","2010","Oregon","41","Linn County","043","030200","2",769.00,769,769,851,"410430302002"
"G41004300302003","2010","Oregon","41","Linn County","043","030200","3",602.00,602,602,594,"410430302003"
"G41004300302004","2010","Oregon","41","Linn County","043","030200","4",1135.00,1135,1135,1206,"410430302004"
"G41004300302005","2010","Oregon","41","Linn County","043","030200","5",1139.00,1139,1139,1329,"410430302005"
"G41004300302006","2010","Oregon","41","Linn County","043","030200","6",1765.79,1739,1766,1761,"410430302006"
"G41004300303001","2010","Oregon","41","Linn County","043","030300","1",959.00,959,959,859,"410430303001"
"G41004300303002","2010","Oregon","41","Linn County","043","030300","2",779.00,779,779,706,"410430303002"
"G41004300303003","2010","Oregon","41","Linn County","043","030300","3",806.00,806,806,766,"410430303003"
"G41004300304011","2010","Oregon","41","Linn County","043","030401","1",1318.00,1318,1318,1262,"410430304011"
"G41004300304012","2010","Oregon","41","Linn County","043","030401","2",1440.97,1236,1441,1529,"410430304012"
"G41004300304013","2010","Oregon","41","Linn County","043","030401","3",964.00,964,964,1094,"410430304013"
"G41004300304014","2010","Oregon","41","Linn County","043","030401","4",1092.03,1092,1297,1095,"410430304014"
"G41004300304015","2010","Oregon","41","Linn County","043","030401","5",934.00,934,934,880,"410430304015"
"G41004300304016","2010","Oregon","41","Linn County","043","030401","6",626.00,626,626,572,"410430304016"
"G41004300304021","2010","Oregon","41","Linn County","043","030402","1",689.00,689,689,719,"410430304021"
"G41004300304022","2010","Oregon","41","Linn County","043","030402","2",1368.00,1368,1368,2010,"410430304022"
"G41004300304023","2010","Oregon","41","Linn County","043","030402","3",1252.00,1252,1252,1387,"410430304023"
"G41004300304024","2010","Oregon","41","Linn County","043","030402","4",1063.00,1063,1063,1091,"410430304024"
"G41004300304025","2010","Oregon","41","Linn County","043","030402","5",1457.00,1457,1457,1480,"410430304025"
"G41004300305001","2010","Oregon","41","Linn County","043","030500","1",1060.00,1060,1060,1011,"410430305001"
"G41004300305002","2010","Oregon","41","Linn County","043","030500","2",1731.00,1731,1731,1888,"410430305002"
"G41004300305003","2010","Oregon","41","Linn County","043","030500","3",1238.00,1238,1238,1281,"410430305003"
"G41004300306001","2010","Oregon","41","Linn County","043","030600","1",949.78,914,950,1040,"410430306001"
"G41004300306002","2010","Oregon","41","Linn County","043","030600","2",838.00,838,838,1018,"410430306002"
"G41004300306003","2010","Oregon","41","Linn County","043","030600","3",932.00,932,932,846,"410430306003"
"G41004300306004","2010","Oregon","41","Linn County","043","030600","4",1899.00,1899,1899,2396,"410430306004"
"G41004300306005","2010","Oregon","41","Linn County","043","030600","5",1094.00,1094,1094,1394,"410430306005"
"G41004300307001","2010","Oregon","41","Linn County","043","030700","1",874.00,874,874,822,"410430307001"
"G41004300307002","2010","Oregon","41","Linn County","043","030700","2",765.00,765,765,802,"410430307002"
"G41004300307003","2010","Oregon","41","Linn County","043","030700","3",776.00,776,776,827,"410430307003"
"G41004300307004","2010","Oregon","41","Linn County","043","030700","4",1317.00,1317,1317,1568,"410430307004"
"G41004300308001","2010","Oregon","41","Linn County","043","030800","1",981.00,981,981,997,"410430308001"
"G41004300308002","2010","Oregon","41","Linn County","043","030800","2",1330.00,1330,1330,1360,"410430308002"
"G41004300308003","2010","Oregon","41","Linn County","043","030800","3",1227.00,1227,1227,1295,"410430308003"
"G41004300308004","2010","Oregon","41","Linn County","043","030800","4",1096.00,1096,1096,1151,"410430308004"
"G41004300308005","2010","Oregon","41","Linn County","043","030800","5",1908.00,1908,1908,1825,"410430308005"
"G41004300308006","2010","Oregon","41","Linn County","043","030800","6",1142.00,1142,1142,1151,"410430308006"
"G41004300309021","2010","Oregon","41","Linn County","043","030902","1",954.00,954,954,966,"410430309021"
"G41004300309022","2010","Oregon","41","Linn County","043","030902","2",1600.00,1600,1600,1553,"410430309022"
"G41004300309023","2010","Oregon","41","Linn County","043","030902","3",1395.00,1395,1395,1420,"410430309023"
"G41004300309024","2010","Oregon","41","Linn County","043","030902","4",1108.00,1108,1108,1135,"410430309024"
"G41004300309025","2010","Oregon","41","Linn County","043","030902","5",1384.00,1384,1384,2264,"410430309025"
"G41004300309031","2010","Oregon","41","Linn County","043","030903","1",999.00,999,999,971,"410430309031"
"G41004300309032","2010","Oregon","41","Linn County","043","030903","2",1040.00,1040,1040,962,"410430309032"
"G41004300309033","2010","Oregon","41","Linn County","043","030903","3",2129.00,2129,2129,2601,"410430309033"
"G41004300309034","2010","Oregon","41","Linn County","043","030903","4",1032.00,1032,1032,1469,"410430309034"
"G41004300309041","2010","Oregon","41","Linn County","043","030904","1",929.00,929,929,962,"410430309041"
"G41004300309042","2010","Oregon","41","Linn County","043","030904","2",1518.00,1518,1518,1649,"410430309042"
"G41004300309043","2010","Oregon","41","Linn County","043","030904","3",950.00,950,950,1424,"410430309043"
"G41004509400001","2010","Oregon","41","Malheur County","045","940000","1",0.00,0,0,0,"410459400001"
"G41004509702001","2010","Oregon","41","Malheur County","045","970200","1",860.00,860,860,908,"410459702001"
"G41004509702002","2010","Oregon","41","Malheur County","045","970200","2",906.00,906,906,828,"410459702002"
"G41004509702003","2010","Oregon","41","Malheur County","045","970200","3",1151.00,1151,1151,1253,"410459702003"
"G41004509702004","2010","Oregon","41","Malheur County","045","970200","4",1532.00,1532,1532,1590,"410459702004"
"G41004509703001","2010","Oregon","41","Malheur County","045","970300","1",749.00,749,749,725,"410459703001"
"G41004509703002","2010","Oregon","41","Malheur County","045","970300","2",1056.00,1056,1056,1123,"410459703002"
"G41004509703003","2010","Oregon","41","Malheur County","045","970300","3",756.00,756,756,749,"410459703003"
"G41004509703004","2010","Oregon","41","Malheur County","045","970300","4",758.00,758,758,763,"410459703004"
"G41004509703005","2010","Oregon","41","Malheur County","045","970300","5",687.00,687,687,730,"410459703005"
"G41004509704001","2010","Oregon","41","Malheur County","045","970400","1",1324.00,1324,1324,1387,"410459704001"
"G41004509704002","2010","Oregon","41","Malheur County","045","970400","2",1221.00,1221,1221,1189,"410459704002"
"G41004509704003","2010","Oregon","41","Malheur County","045","970400","3",745.00,745,745,658,"410459704003"
"G41004509704004","2010","Oregon","41","Malheur County","045","970400","4",780.00,780,780,745,"410459704004"
"G41004509704005","2010","Oregon","41","Malheur County","045","970400","5",1479.00,1479,1479,1447,"410459704005"
"G41004509705001","2010","Oregon","41","Malheur County","045","970500","1",803.00,803,815,701,"410459705001"
"G41004509705002","2010","Oregon","41","Malheur County","045","970500","2",1227.00,1227,1227,1264,"410459705002"
"G41004509705003","2010","Oregon","41","Malheur County","045","970500","3",681.00,681,681,693,"410459705003"
"G41004509705004","2010","Oregon","41","Malheur County","045","970500","4",1019.00,1019,1019,984,"410459705004"
"G41004509705005","2010","Oregon","41","Malheur County","045","970500","5",726.00,726,726,703,"410459705005"
"G41004509705006","2010","Oregon","41","Malheur County","045","970500","6",715.00,715,715,792,"410459705006"
"G41004509706001","2010","Oregon","41","Malheur County","045","970600","1",944.00,937,944,853,"410459706001"
"G41004509706002","2010","Oregon","41","Malheur County","045","970600","2",1569.00,1569,1569,1475,"410459706002"
"G41004509706003","2010","Oregon","41","Malheur County","045","970600","3",984.00,984,984,1032,"410459706003"
"G41004509706004","2010","Oregon","41","Malheur County","045","970600","4",938.00,938,938,933,"410459706004"
"G41004509706005","2010","Oregon","41","Malheur County","045","970600","5",193.00,193,193,169,"410459706005"
"G41004509707001","2010","Oregon","41","Malheur County","045","970700","1",1903.00,1903,1903,1720,"410459707001"
"G41004509709001","2010","Oregon","41","Malheur County","045","970900","1",865.03,848,867,772,"410459709001"
"G41004509709002","2010","Oregon","41","Malheur County","045","970900","2",831.00,831,838,830,"410459709002"
"G41004509709003","2010","Oregon","41","Malheur County","045","970900","3",3534.97,3533,3552,3630,"410459709003"
"G41004509709004","2010","Oregon","41","Malheur County","045","970900","4",676.00,676,676,667,"410459709004"
"G41004700002001","2010","Oregon","41","Marion County","047","000200","1",811.00,811,811,672,"410470002001"
"G41004700002002","2010","Oregon","41","Marion County","047","000200","2",793.00,793,793,704,"410470002002"
"G41004700002003","2010","Oregon","41","Marion County","047","000200","3",2022.00,2022,2022,1857,"410470002003"
"G41004700003001","2010","Oregon","41","Marion County","047","000300","1",1462.00,1462,1462,1365,"410470003001"
"G41004700003002","2010","Oregon","41","Marion County","047","000300","2",743.00,743,743,849,"410470003002"
"G41004700003003","2010","Oregon","41","Marion County","047","000300","3",1212.00,1212,1212,1367,"410470003003"
"G41004700003004","2010","Oregon","41","Marion County","047","000300","4",1562.00,1562,1562,1433,"410470003004"
"G41004700004001","2010","Oregon","41","Marion County","047","000400","1",2172.00,2172,2172,1907,"410470004001"
"G41004700004002","2010","Oregon","41","Marion County","047","000400","2",1803.16,1657,1830,1740,"410470004002"
"G41004700004003","2010","Oregon","41","Marion County","047","000400","3",1412.84,1386,1559,1291,"410470004003"
"G41004700005011","2010","Oregon","41","Marion County","047","000501","1",1322.00,1322,1322,1527,"410470005011"
"G41004700005012","2010","Oregon","41","Marion County","047","000501","2",1941.00,1941,1941,2206,"410470005012"
"G41004700005021","2010","Oregon","41","Marion County","047","000502","1",739.00,739,739,672,"410470005021"
"G41004700005022","2010","Oregon","41","Marion County","047","000502","2",1526.00,1526,1526,1765,"410470005022"
"G41004700005023","2010","Oregon","41","Marion County","047","000502","3",2888.00,2888,2888,2889,"410470005023"
"G41004700006001","2010","Oregon","41","Marion County","047","000600","1",1749.00,1749,1749,1751,"410470006001"
"G41004700006002","2010","Oregon","41","Marion County","047","000600","2",1636.00,1636,1636,1523,"410470006002"
"G41004700006003","2010","Oregon","41","Marion County","047","000600","3",1629.00,1629,1629,1584,"410470006003"
"G41004700007011","2010","Oregon","41","Marion County","047","000701","1",2232.00,2232,2232,2425,"410470007011"
"G41004700007012","2010","Oregon","41","Marion County","047","000701","2",2690.00,2690,2690,2844,"410470007012"
"G41004700007013","2010","Oregon","41","Marion County","047","000701","3",2928.00,2928,2928,2866,"410470007013"
"G41004700009001","2010","Oregon","41","Marion County","047","000900","1",1154.00,1154,1154,1079,"410470009001"
"G41004700009002","2010","Oregon","41","Marion County","047","000900","2",1012.00,1012,1012,991,"410470009002"
"G41004700009003","2010","Oregon","41","Marion County","047","000900","3",721.00,721,721,922,"410470009003"
"G41004700009004","2010","Oregon","41","Marion County","047","000900","4",877.00,877,877,824,"410470009004"
"G41004700009005","2010","Oregon","41","Marion County","047","000900","5",624.00,624,624,594,"410470009005"
"G41004700009006","2010","Oregon","41","Marion County","047","000900","6",764.00,764,764,794,"410470009006"
"G41004700009007","2010","Oregon","41","Marion County","047","000900","7",692.00,692,692,578,"410470009007"
"G41004700010001","2010","Oregon","41","Marion County","047","001000","1",1106.00,1106,1106,1108,"410470010001"
"G41004700010002","2010","Oregon","41","Marion County","047","001000","2",1155.00,1155,1155,1185,"410470010002"
"G41004700010003","2010","Oregon","41","Marion County","047","001000","3",1804.00,1804,1804,1577,"410470010003"
"G41004700011001","2010","Oregon","41","Marion County","047","001100","1",1257.58,1099,1528,1272,"410470011001"
"G41004700011002","2010","Oregon","41","Marion County","047","001100","2",1967.00,1967,1967,1964,"410470011002"
"G41004700011003","2010","Oregon","41","Marion County","047","001100","3",1254.42,984,1413,1307,"410470011003"
"G41004700012001","2010","Oregon","41","Marion County","047","001200","1",1702.00,1702,1702,1649,"410470012001"
"G41004700012002","2010","Oregon","41","Marion County","047","001200","2",1992.00,1992,1992,1944,"410470012002"
"G41004700013001","2010","Oregon","41","Marion County","047","001300","1",1797.00,1797,1797,2068,"410470013001"
"G41004700013002","2010","Oregon","41","Marion County","047","001300","2",1420.00,1420,1420,1352,"410470013002"
"G41004700013003","2010","Oregon","41","Marion County","047","001300","3",612.00,612,612,620,"410470013003"
"G41004700014011","2010","Oregon","41","Marion County","047","001401","1",1826.00,1826,1826,2112,"410470014011"
"G41004700014012","2010","Oregon","41","Marion County","047","001401","2",1355.92,1354,1365,1691,"410470014012"
"G41004700014013","2010","Oregon","41","Marion County","047","001401","3",1796.00,1796,1796,1863,"410470014013"
"G41004700014021","2010","Oregon","41","Marion County","047","001402","1",1439.08,1430,1441,1495,"410470014021"
"G41004700014022","2010","Oregon","41","Marion County","047","001402","2",1492.00,1492,1492,1713,"410470014022"
"G41004700014023","2010","Oregon","41","Marion County","047","001402","3",2328.00,2328,2328,2454,"410470014023"
"G41004700015011","2010","Oregon","41","Marion County","047","001501","1",1509.00,1509,1509,1437,"410470015011"
"G41004700015012","2010","Oregon","41","Marion County","047","001501","2",1386.00,1386,1386,1388,"410470015012"
"G41004700015013","2010","Oregon","41","Marion County","047","001501","3",1227.00,1227,1227,1583,"410470015013"
"G41004700015021","2010","Oregon","41","Marion County","047","001502","1",2004.00,2004,2004,2103,"410470015021"
"G41004700015022","2010","Oregon","41","Marion County","047","001502","2",1582.00,1582,1582,2028,"410470015022"
"G41004700015023","2010","Oregon","41","Marion County","047","001502","3",1121.00,1121,1121,1122,"410470015023"
"G41004700015031","2010","Oregon","41","Marion County","047","001503","1",1659.00,1659,1659,1557,"410470015031"
"G41004700015032","2010","Oregon","41","Marion County","047","001503","2",2071.00,2071,2071,2394,"410470015032"
"G41004700015033","2010","Oregon","41","Marion County","047","001503","3",1298.00,1298,1298,1459,"410470015033"
"G41004700016011","2010","Oregon","41","Marion County","047","001601","1",1132.00,1132,1132,1088,"410470016011"
"G41004700016012","2010","Oregon","41","Marion County","047","001601","2",2978.00,2978,2978,3529,"410470016012"
"G41004700016013","2010","Oregon","41","Marion County","047","001601","3",1787.00,1787,1787,1819,"410470016013"
"G41004700016014","2010","Oregon","41","Marion County","047","001601","4",1251.00,1251,1251,1232,"410470016014"
"G41004700016021","2010","Oregon","41","Marion County","047","001602","1",1918.00,1918,1918,2293,"410470016021"
"G41004700016022","2010","Oregon","41","Marion County","047","001602","2",1270.00,1270,1270,1932,"410470016022"
"G41004700016023","2010","Oregon","41","Marion County","047","001602","3",1417.50,1200,1419,1733,"410470016023"
"G41004700016024","2010","Oregon","41","Marion County","047","001602","4",1079.00,1079,1079,1120,"410470016024"
"G41004700016025","2010","Oregon","41","Marion County","047","001602","5",1860.00,1860,1860,2208,"410470016025"
"G41004700016031","2010","Oregon","41","Marion County","047","001603","1",1086.95,931,2270,1965,"410470016031"
"G41004700016032","2010","Oregon","41","Marion County","047","001603","2",1983.05,800,2139,2265,"410470016032"
"G41004700016033","2010","Oregon","41","Marion County","047","001603","3",1217.50,1216,1435,1418,"410470016033"
"G41004700016034","2010","Oregon","41","Marion County","047","001603","4",1122.00,1122,1122,1316,"410470016034"
"G41004700016041","2010","Oregon","41","Marion County","047","001604","1",2291.00,2291,2291,2634,"410470016041"
"G41004700016042","2010","Oregon","41","Marion County","047","001604","2",1220.00,1220,1220,1539,"410470016042"
"G41004700016043","2010","Oregon","41","Marion County","047","001604","3",2081.00,2081,2081,2468,"410470016043"
"G41004700016044","2010","Oregon","41","Marion County","047","001604","4",1494.00,1494,1494,1723,"410470016044"
"G41004700017011","2010","Oregon","41","Marion County","047","001701","1",1796.00,1796,1796,2271,"410470017011"
"G41004700017012","2010","Oregon","41","Marion County","047","001701","2",1675.00,1675,1675,1945,"410470017012"
"G41004700017013","2010","Oregon","41","Marion County","047","001701","3",1757.00,1757,1757,2193,"410470017013"
"G41004700017021","2010","Oregon","41","Marion County","047","001702","1",1522.00,1522,1522,1652,"410470017021"
"G41004700017022","2010","Oregon","41","Marion County","047","001702","2",1200.00,1200,1200,1669,"410470017022"
"G41004700017023","2010","Oregon","41","Marion County","047","001702","3",2088.00,2088,2088,2243,"410470017023"
"G41004700017031","2010","Oregon","41","Marion County","047","001703","1",1177.00,1177,1177,1160,"410470017031"
"G41004700017032","2010","Oregon","41","Marion County","047","001703","2",944.00,944,944,1403,"410470017032"
"G41004700017033","2010","Oregon","41","Marion County","047","001703","3",1661.00,1661,1661,1774,"410470017033"
"G41004700018011","2010","Oregon","41","Marion County","047","001801","1",1476.00,1476,1476,1844,"410470018011"
"G41004700018012","2010","Oregon","41","Marion County","047","001801","2",1219.00,1219,1219,1223,"410470018012"
"G41004700018013","2010","Oregon","41","Marion County","047","001801","3",1229.00,1229,1229,1520,"410470018013"
"G41004700018014","2010","Oregon","41","Marion County","047","001801","4",1646.00,1646,1646,1914,"410470018014"
"G41004700018021","2010","Oregon","41","Marion County","047","001802","1",1207.00,1207,1207,1358,"410470018021"
"G41004700018022","2010","Oregon","41","Marion County","047","001802","2",1249.00,1249,1249,1166,"410470018022"
"G41004700018023","2010","Oregon","41","Marion County","047","001802","3",1173.00,1173,1173,1276,"410470018023"
"G41004700018024","2010","Oregon","41","Marion County","047","001802","4",1277.00,1277,1277,2374,"410470018024"
"G41004700018025","2010","Oregon","41","Marion County","047","001802","5",1098.00,1098,1098,1512,"410470018025"
"G41004700018031","2010","Oregon","41","Marion County","047","001803","1",2055.00,2055,2055,2361,"410470018031"
"G41004700018032","2010","Oregon","41","Marion County","047","001803","2",2945.00,2945,2945,2932,"410470018032"
"G41004700020001","2010","Oregon","41","Marion County","047","002000","1",2708.48,2678,2983,2669,"410470020001"
"G41004700020002","2010","Oregon","41","Marion County","047","002000","2",859.52,585,890,2123,"410470020002"
"G41004700020003","2010","Oregon","41","Marion County","047","002000","3",1800.00,1800,1800,2330,"410470020003"
"G41004700020004","2010","Oregon","41","Marion County","047","002000","4",1164.00,1164,1164,2086,"410470020004"
"G41004700021011","2010","Oregon","41","Marion County","047","002101","1",1577.00,1577,1577,1425,"410470021011"
"G41004700021012","2010","Oregon","41","Marion County","047","002101","2",883.00,883,883,831,"410470021012"
"G41004700021021","2010","Oregon","41","Marion County","047","002102","1",1716.00,1716,1716,1640,"410470021021"
"G41004700021022","2010","Oregon","41","Marion County","047","002102","2",752.00,752,752,687,"410470021022"
"G41004700021023","2010","Oregon","41","Marion County","047","002102","3",1496.00,1496,1496,1441,"410470021023"
"G41004700021024","2010","Oregon","41","Marion County","047","002102","4",2287.00,2287,2287,2299,"410470021024"
"G41004700022011","2010","Oregon","41","Marion County","047","002201","1",1374.00,1374,1374,1349,"410470022011"
"G41004700022012","2010","Oregon","41","Marion County","047","002201","2",657.00,657,657,628,"410470022012"
"G41004700022021","2010","Oregon","41","Marion County","047","002202","1",2805.00,2805,2805,2813,"410470022021"
"G41004700022022","2010","Oregon","41","Marion County","047","002202","2",887.00,887,887,891,"410470022022"
"G41004700022023","2010","Oregon","41","Marion County","047","002202","3",2539.00,2539,2539,2526,"410470022023"
"G41004700023011","2010","Oregon","41","Marion County","047","002301","1",2338.00,2338,2338,2283,"410470023011"
"G41004700023012","2010","Oregon","41","Marion County","047","002301","2",826.00,826,826,893,"410470023012"
"G41004700023031","2010","Oregon","41","Marion County","047","002303","1",2318.00,2318,2318,2689,"410470023031"
"G41004700023032","2010","Oregon","41","Marion County","047","002303","2",2074.00,2074,2074,2113,"410470023032"
"G41004700023033","2010","Oregon","41","Marion County","047","002303","3",1854.00,1854,1854,2340,"410470023033"
"G41004700023041","2010","Oregon","41","Marion County","047","002304","1",775.00,775,775,1719,"410470023041"
"G41004700023042","2010","Oregon","41","Marion County","047","002304","2",739.00,739,739,852,"410470023042"
"G41004700023043","2010","Oregon","41","Marion County","047","002304","3",1688.00,1688,1688,1792,"410470023043"
"G41004700023044","2010","Oregon","41","Marion County","047","002304","4",755.00,755,755,718,"410470023044"
"G41004700024001","2010","Oregon","41","Marion County","047","002400","1",1064.00,1064,1064,1260,"410470024001"
"G41004700024002","2010","Oregon","41","Marion County","047","002400","2",1819.00,1819,1819,2175,"410470024002"
"G41004700025011","2010","Oregon","41","Marion County","047","002501","1",2773.22,2390,2840,4144,"410470025011"
"G41004700025012","2010","Oregon","41","Marion County","047","002501","2",1724.00,1724,1801,1815,"410470025012"
"G41004700025013","2010","Oregon","41","Marion County","047","002501","3",2323.17,2255,2810,2909,"410470025013"
"G41004700025021","2010","Oregon","41","Marion County","047","002502","1",1629.61,1526,1631,1718,"410470025021"
"G41004700025022","2010","Oregon","41","Marion County","047","002502","2",2437.00,2437,2437,2379,"410470025022"
"G41004700025023","2010","Oregon","41","Marion County","047","002502","3",907.00,907,907,936,"410470025023"
"G41004700026001","2010","Oregon","41","Marion County","047","002600","1",1000.00,1000,1000,973,"410470026001"
"G41004700026002","2010","Oregon","41","Marion County","047","002600","2",1077.00,1077,1077,1057,"410470026002"
"G41004700027001","2010","Oregon","41","Marion County","047","002700","1",2375.00,2375,2375,2943,"410470027001"
"G41004700027002","2010","Oregon","41","Marion County","047","002700","2",723.00,723,916,866,"410470027002"
"G41004700027003","2010","Oregon","41","Marion County","047","002700","3",1271.00,1078,1271,1320,"410470027003"
"G41004700027004","2010","Oregon","41","Marion County","047","002700","4",1151.00,1151,1151,1169,"410470027004"
"G41004700027005","2010","Oregon","41","Marion County","047","002700","5",2020.00,2020,2020,2212,"410470027005"
"G41004700028001","2010","Oregon","41","Marion County","047","002800","1",1418.00,1418,1418,1496,"410470028001"
"G41004700028002","2010","Oregon","41","Marion County","047","002800","2",2167.00,2167,2167,2356,"410470028002"
"G41004700101001","2010","Oregon","41","Marion County","047","010100","1",882.00,882,882,844,"410470101001"
"G41004700101002","2010","Oregon","41","Marion County","047","010100","2",929.00,929,929,633,"410470101002"
"G41004700102011","2010","Oregon","41","Marion County","047","010201","1",1324.00,1324,1324,1316,"410470102011"
"G41004700102012","2010","Oregon","41","Marion County","047","010201","2",993.98,990,1146,1316,"410470102012"
"G41004700102021","2010","Oregon","41","Marion County","047","010202","1",1318.53,1309,1319,1316,"410470102021"
"G41004700102022","2010","Oregon","41","Marion County","047","010202","2",1807.00,1807,1807,2231,"410470102022"
"G41004700102023","2010","Oregon","41","Marion County","047","010202","3",959.50,730,963,964,"410470102023"
"G41004700102024","2010","Oregon","41","Marion County","047","010202","4",2124.00,2124,2211,2694,"410470102024"
"G41004700103031","2010","Oregon","41","Marion County","047","010303","1",2127.00,2127,2127,2508,"410470103031"
"G41004700103032","2010","Oregon","41","Marion County","047","010303","2",2406.00,2406,2406,2326,"410470103032"
"G41004700103041","2010","Oregon","41","Marion County","047","010304","1",1151.00,1151,1151,1324,"410470103041"
"G41004700103042","2010","Oregon","41","Marion County","047","010304","2",1766.00,1766,1766,2612,"410470103042"
"G41004700103043","2010","Oregon","41","Marion County","047","010304","3",1211.00,1211,1211,1132,"410470103043"
"G41004700103044","2010","Oregon","41","Marion County","047","010304","4",1454.00,1454,1454,1367,"410470103044"
"G41004700103051","2010","Oregon","41","Marion County","047","010305","1",1763.00,1763,1763,1721,"410470103051"
"G41004700103052","2010","Oregon","41","Marion County","047","010305","2",1200.00,1200,1200,1255,"410470103052"
"G41004700103053","2010","Oregon","41","Marion County","047","010305","3",1395.00,1395,1395,1533,"410470103053"
"G41004700103061","2010","Oregon","41","Marion County","047","010306","1",1491.00,1491,1491,3339,"410470103061"
"G41004700103062","2010","Oregon","41","Marion County","047","010306","2",2629.38,727,2631,2969,"410470103062"
"G41004700103063","2010","Oregon","41","Marion County","047","010306","3",705.00,705,705,726,"410470103063"
"G41004700103064","2010","Oregon","41","Marion County","047","010306","4",693.00,693,693,718,"410470103064"
"G41004700103065","2010","Oregon","41","Marion County","047","010306","5",1453.00,1453,1453,1308,"410470103065"
"G41004700103071","2010","Oregon","41","Marion County","047","010307","1",1516.62,1515,3419,2746,"410470103071"
"G41004700103072","2010","Oregon","41","Marion County","047","010307","2",1753.00,1753,1753,1653,"410470103072"
"G41004700103073","2010","Oregon","41","Marion County","047","010307","3",1270.00,1270,1270,1325,"410470103073"
"G41004700104001","2010","Oregon","41","Marion County","047","010400","1",900.98,896,901,755,"410470104001"
"G41004700104002","2010","Oregon","41","Marion County","047","010400","2",965.00,965,965,1083,"410470104002"
"G41004700104003","2010","Oregon","41","Marion County","047","010400","3",1080.00,1080,1080,1025,"410470104003"
"G41004700104004","2010","Oregon","41","Marion County","047","010400","4",997.00,997,997,1182,"410470104004"
"G41004700104005","2010","Oregon","41","Marion County","047","010400","5",997.02,997,1002,954,"410470104005"
"G41004700105011","2010","Oregon","41","Marion County","047","010501","1",1526.00,1526,1526,1563,"410470105011"
"G41004700105012","2010","Oregon","41","Marion County","047","010501","2",880.00,880,880,814,"410470105012"
"G41004700105013","2010","Oregon","41","Marion County","047","010501","3",1254.49,1247,1256,1753,"410470105013"
"G41004700105014","2010","Oregon","41","Marion County","047","010501","4",1273.51,1272,1281,1306,"410470105014"
"G41004700105021","2010","Oregon","41","Marion County","047","010502","1",2682.00,2682,2682,3023,"410470105021"
"G41004700105022","2010","Oregon","41","Marion County","047","010502","2",1415.00,1415,1415,2272,"410470105022"
"G41004700105023","2010","Oregon","41","Marion County","047","010502","3",773.00,773,773,658,"410470105023"
"G41004700105031","2010","Oregon","41","Marion County","047","010503","1",783.49,764,784,786,"410470105031"
"G41004700105032","2010","Oregon","41","Marion County","047","010503","2",1028.51,1028,1048,962,"410470105032"
"G41004700105033","2010","Oregon","41","Marion County","047","010503","3",2098.00,2098,2098,2122,"410470105033"
"G41004700106001","2010","Oregon","41","Marion County","047","010600","1",636.00,632,636,440,"410470106001"
"G41004700106002","2010","Oregon","41","Marion County","047","010600","2",1397.00,1397,1397,1389,"410470106002"
"G41004700106003","2010","Oregon","41","Marion County","047","010600","3",668.00,668,668,642,"410470106003"
"G41004700107011","2010","Oregon","41","Marion County","047","010701","1",1256.00,1256,1256,1351,"410470107011"
"G41004700107012","2010","Oregon","41","Marion County","047","010701","2",1251.00,1251,1251,1281,"410470107012"
"G41004700107013","2010","Oregon","41","Marion County","047","010701","3",1068.00,1068,1068,1117,"410470107013"
