region,regionid,year,"0-9,999","10,000-14,999","15,000-19,999","20,000-24,999","25,000-29,999","30,000-34,999","35,000-39,999","40,000-44,999","45,000-49,999","50,000-59,999","60,000-74,999","75,000-99,999","100,000-124,999","125,000-149,999","150,000-199,999","200,000+"
"Southwest Hills",271136,2009,15.03,7.37,3.40,3.77,3.68,3.83,2.61,2.30,1.99,4.10,6.25,7.35,8.08,3.87,6.53,19.86
"Sunderland",271139,2009,4.52,0.00,0.00,17.64,4.07,11.31,4.53,4.07,8.14,4.07,4.07,12.67,3.62,0.00,21.26,0.00
"Triple Creek",271142,2009,4.07,2.20,4.99,4.93,6.01,3.91,4.24,2.81,3.31,10.94,15.09,20.26,7.04,6.52,2.07,1.59
"West Beaverton",271146,2009,6.07,4.51,5.49,6.90,4.51,6.18,5.13,6.72,5.21,10.60,6.79,13.50,6.31,5.70,3.25,3.11
"Wilkes",271150,2009,11.78,4.80,7.78,5.93,10.52,7.05,2.64,3.88,3.85,10.77,11.45,10.05,3.09,3.41,1.27,1.75
"Woodlawn",271152,2009,8.28,5.51,6.01,6.62,5.50,5.03,4.04,5.78,8.21,10.66,9.60,10.20,8.36,3.22,2.23,0.75
"Ardenwald",272783,2009,12.68,6.03,5.95,4.63,3.31,4.38,7.39,5.75,3.04,11.42,16.51,9.95,5.15,3.51,0.29,0.00
"Central Beaverton",273187,2009,7.88,4.83,6.13,8.03,7.91,11.81,5.49,9.15,3.58,7.81,9.11,11.01,2.87,3.26,0.96,0.17
"Corbett-Terwilliger-Lair Hill",273346,2009,8.77,4.37,2.10,6.15,6.27,3.10,5.03,4.41,5.70,6.31,8.00,16.52,6.30,4.03,5.92,7.02
"Creston-Kenilworth",273402,2009,11.18,5.38,6.04,5.24,6.42,6.60,7.28,6.48,2.72,8.72,15.94,9.49,3.98,2.52,1.11,0.89
"Greenway",273899,2009,3.36,6.61,5.91,8.37,7.33,6.75,3.23,5.59,2.01,14.55,14.03,8.47,8.09,3.97,1.72,0.00
"Haden Island",273912,2009,4.30,12.64,9.20,4.43,1.50,6.14,5.50,8.15,5.21,8.46,11.47,16.46,2.64,2.69,0.24,0.96
"Hector Campbell",273955,2009,7.99,4.21,4.88,6.28,6.13,4.40,4.56,6.98,4.45,10.27,7.66,20.44,6.20,5.03,0.52,0.00
"Highlands",274008,2009,5.94,5.82,2.24,3.29,5.65,2.77,4.32,4.68,7.25,7.31,10.41,15.94,8.85,5.63,7.25,2.65
"Historic Milwaukie",274035,2009,7.91,12.81,4.29,5.41,3.15,7.95,1.81,7.50,1.62,13.57,8.11,15.32,6.58,2.30,1.29,0.38
"Homestead",274053,2009,17.78,3.76,3.78,4.65,3.63,7.80,4.45,2.65,3.67,12.07,6.30,10.58,4.30,2.44,5.63,6.51
"Hosford",274059,2009,9.95,5.44,7.58,5.24,6.17,3.76,5.86,6.10,3.57,8.98,9.00,11.52,4.41,3.90,4.88,3.61
"Island Station",274111,2009,12.61,7.10,4.23,8.71,7.96,7.18,7.43,2.00,3.17,8.63,7.86,5.56,10.30,0.83,3.91,2.53
"Lake Road",274239,2009,4.16,6.81,5.57,6.23,2.85,5.10,3.81,8.17,2.93,10.43,12.12,14.83,9.24,3.49,2.60,1.65
"Lewelling",274295,2009,5.90,4.19,3.54,8.96,1.78,1.25,3.94,8.34,5.60,10.27,22.89,10.32,7.85,2.47,2.72,0.00
"Linwood",274327,2009,8.52,1.91,7.17,4.15,4.05,2.32,7.36,6.07,5.77,8.65,15.60,19.74,2.50,1.47,4.72,0.01
"Lloyd",274337,2009,17.41,7.06,3.42,3.00,6.11,4.56,8.67,2.20,2.94,3.65,6.13,13.36,8.40,3.84,8.75,0.49
"Maplewood-Ashcreek",274417,2009,4.22,3.35,3.21,2.92,5.77,4.04,4.35,4.40,3.63,6.23,11.41,15.08,11.53,7.18,6.35,6.34
"McLoughlin Industrial",274478,2009,4.09,21.09,1.67,6.51,7.70,16.13,1.91,5.44,1.26,6.82,10.22,8.63,3.61,3.87,0.01,1.03
"Milwaukie Business-Industry",274545,2009,4.05,3.88,3.97,7.21,3.10,3.97,4.00,9.88,2.30,5.73,12.63,16.94,12.53,3.20,3.66,2.96
"Mount Scott",274604,2009,10.57,5.82,5.85,3.20,7.35,4.28,8.25,3.46,6.12,11.59,11.04,12.91,5.19,0.49,2.47,1.42
"Mount Tabor",274605,2009,6.02,5.72,2.54,7.79,4.24,6.14,4.58,5.86,3.53,7.00,9.72,13.28,8.06,7.66,4.90,2.96
"Neighbors Southwest",274653,2009,4.77,6.02,3.09,5.29,2.10,10.69,7.44,3.20,2.15,11.42,9.01,15.24,6.65,4.98,4.30,3.67
"Northwest",274797,2009,14.70,9.00,7.10,5.33,6.57,5.47,4.30,3.92,3.29,8.53,8.64,7.89,4.50,2.72,2.84,5.18
"Old Town-Chinatown",274898,2009,44.68,4.82,2.24,7.72,13.21,0.00,0.00,0.00,2.66,4.57,2.08,5.32,6.64,0.00,4.32,1.74
"Pleasant Valley",275055,2009,8.21,3.05,5.92,2.45,3.46,3.90,2.45,6.25,5.19,9.04,17.59,12.84,10.68,4.26,3.15,1.54
"Portsmith",275080,2009,8.18,7.28,11.39,3.85,10.41,5.55,7.39,8.59,5.56,8.91,9.05,6.45,2.07,4.10,0.93,0.29
"Raleigh West",275125,2009,2.21,1.89,3.09,4.09,5.76,7.84,8.34,5.24,8.15,6.83,9.05,10.60,10.01,9.77,2.48,4.65
"Ross Island",275256,2009,0.00,4.30,0.00,0.00,8.88,0.00,24.07,8.60,10.03,0.00,9.46,2.01,27.22,0.00,5.44,0.00
"Sellwood-Moreland",275327,2009,5.71,7.93,5.42,5.28,5.58,3.81,6.64,7.42,3.96,7.35,9.96,11.70,8.25,4.90,2.20,3.88
"South Beaverton",275412,2009,4.35,5.01,1.67,4.26,3.00,6.02,5.29,3.35,4.09,9.82,13.02,14.18,7.71,6.12,8.05,4.06
"Saintjohns",275553,2009,3.59,5.48,4.87,6.23,6.89,7.76,8.15,7.50,4.99,11.25,11.61,10.01,7.57,1.88,1.90,0.31
"Vose",275899,2009,7.72,8.52,5.57,8.25,7.69,5.07,5.89,4.22,4.49,8.91,10.51,11.08,5.77,1.72,3.35,1.25
"West Slope",275992,2009,3.42,4.57,4.07,2.07,6.32,2.40,5.51,2.72,3.32,4.91,5.37,13.93,11.09,11.00,8.78,10.53
"Brentwood-Darlington",276222,2009,7.55,7.07,4.30,4.11,6.93,8.86,6.68,4.53,6.96,14.27,11.73,10.57,2.76,1.95,1.04,0.68
"Denny Whitford",276294,2009,5.12,11.41,10.78,0.36,3.23,5.27,5.33,3.30,0.22,3.26,12.48,26.41,3.78,3.48,5.13,0.44
"Richmond",276532,2009,6.50,7.29,3.40,5.29,4.59,5.11,5.50,5.30,4.08,10.11,11.51,12.56,8.34,5.65,2.99,1.76
"Foster Powell",344054,2009,7.96,6.56,6.68,9.37,8.28,6.78,8.36,3.64,4.93,9.33,8.80,12.97,3.99,0.45,1.89,0.02
"Reed",344057,2009,14.71,9.00,2.67,4.78,8.24,9.09,9.82,5.70,2.58,2.82,10.07,10.74,5.09,2.94,0.99,0.76
"South Tabor",344059,2009,6.37,5.51,6.32,5.51,9.10,3.74,6.35,5.18,1.93,14.14,13.71,9.21,6.01,2.94,2.25,1.73
