regionid,year,no_highschool_diploma,highschool_and_ged_diploma,some_college,bachelors_degree,graduate_plus
206428,2014,1.98,6.91,20.18,36.05,34.88
206554,2014,4.95,7.38,15.41,36.03,36.23
206562,2014,7.54,10.76,35.32,28.80,17.58
206780,2014,1.21,8.54,22.77,30.96,36.53
206971,2014,16.67,29.36,32.99,14.44,6.55
206987,2014,2.11,7.34,21.96,37.02,31.56
207031,2014,3.74,10.19,24.10,32.51,29.46
207061,2014,10.59,16.97,34.52,24.04,13.89
207108,2014,21.29,29.43,33.63,11.18,4.47
207125,2014,1.18,13.01,29.56,31.55,24.70
207230,2014,9.05,19.80,35.14,25.54,10.46
207340,2014,15.25,25.01,35.58,18.17,5.99
207384,2014,24.10,29.62,32.03,11.36,2.89
207639,2014,3.95,21.61,29.88,26.67,17.89
207740,2014,6.05,18.00,28.40,29.98,17.57
271060,2014,10.29,13.16,31.75,28.62,16.18
271061,2014,11.64,21.57,40.40,18.81,7.59
271065,2014,8.73,11.22,29.38,34.90,15.77
271067,2014,10.41,26.36,39.76,14.27,9.20
271068,2014,2.87,10.01,32.69,38.36,16.08
271070,2014,11.52,18.20,33.08,24.22,12.98
271071,2014,20.52,32.16,35.96,9.16,2.18
271072,2014,4.24,10.97,24.71,33.63,26.45
271076,2014,3.54,12.83,26.13,35.58,21.92
271079,2014,13.75,19.66,30.52,22.56,13.51
271082,2014,7.35,10.99,26.93,31.89,22.83
271085,2014,5.95,13.24,36.36,25.82,18.63
271087,2014,1.65,9.43,28.43,32.27,28.22
271089,2014,7.20,13.13,27.84,33.60,18.24
271090,2014,0.58,6.05,14.88,40.90,37.59
271098,2014,3.61,11.15,27.92,32.28,25.04
271104,2014,2.14,8.02,30.71,42.62,16.51
271105,2014,4.61,11.62,23.90,38.02,21.85
271108,2014,7.71,19.99,36.83,21.93,13.54
271111,2014,24.72,26.48,27.03,14.55,7.21
271119,2014,5.19,13.79,28.57,33.84,18.61
271122,2014,3.08,4.82,23.46,36.04,32.60
271127,2014,4.55,13.47,29.00,31.59,21.39
271131,2014,2.57,15.51,28.70,36.33,16.89
271136,2014,3.22,5.01,19.35,30.87,41.56
271139,2014,23.84,36.37,33.03,5.01,1.75
271142,2014,9.92,19.72,28.91,29.26,12.19
271146,2014,7.97,20.88,32.79,26.12,12.25
271150,2014,15.20,28.58,37.60,13.03,5.59
271152,2014,7.09,16.81,29.06,30.69,16.36
272783,2014,7.96,23.35,43.74,13.51,11.44
273187,2014,15.13,29.47,30.25,17.32,7.83
273346,2014,1.45,5.50,25.20,41.21,26.64
273402,2014,11.13,22.12,30.10,24.29,12.35
273856,2014,4.08,16.92,50.23,21.20,7.56
273899,2014,9.30,17.96,35.66,28.33,8.75
273912,2014,12.10,26.48,33.55,17.17,10.70
273955,2014,4.10,26.35,42.96,19.04,7.55
274008,2014,13.73,17.68,32.89,23.85,11.85
274035,2014,6.85,18.39,44.63,19.85,10.29
274053,2014,1.23,3.55,15.53,36.50,43.19
274059,2014,2.93,10.78,21.86,35.27,29.17
274111,2014,6.92,20.59,44.14,16.69,11.66
274239,2014,8.34,22.58,41.57,21.60,5.92
274295,2014,5.87,26.30,42.28,19.63,5.93
274327,2014,6.78,34.08,39.18,14.10,5.86
274337,2014,4.70,10.72,29.74,32.16,22.68
274417,2014,3.25,10.49,27.90,33.11,25.26
274478,2014,5.23,12.43,36.21,23.72,22.41
274545,2014,10.35,20.78,38.07,22.54,8.26
274604,2014,15.44,21.58,31.87,22.04,9.08
274605,2014,3.42,14.06,24.23,35.28,23.02
274653,2014,6.66,11.18,27.92,33.92,20.32
274797,2014,2.17,7.25,23.08,37.07,30.42
274898,2014,9.91,10.35,31.61,29.01,19.11
275055,2014,12.93,27.83,34.86,15.58,8.79
275080,2014,20.00,24.39,34.51,15.18,5.93
275125,2014,6.72,18.78,26.80,36.25,11.45
275256,2014,5.66,19.53,9.77,31.84,33.20
275327,2014,4.41,12.81,27.24,30.47,25.07
275412,2014,6.97,15.27,26.36,36.69,14.72
275553,2014,11.81,24.51,37.43,16.30,9.95
275899,2014,18.51,23.53,28.24,18.47,11.24
275992,2014,3.73,14.96,31.66,31.98,17.67
276222,2014,12.46,27.66,37.13,16.41,6.34
276294,2014,13.47,19.11,35.90,23.80,7.72
276532,2014,3.14,11.01,25.48,34.71,25.65
344054,2014,10.04,18.88,37.57,24.52,8.99
344057,2014,5.31,19.13,35.16,24.07,16.33
344059,2014,10.52,20.55,27.86,26.94,14.13
