region,regionid,year,"0-9,999","10,000-14,999","15,000-19,999","20,000-24,999","25,000-29,999","30,000-34,999","35,000-39,999","40,000-44,999","45,000-49,999","50,000-59,999","60,000-74,999","75,000-99,999","100,000-124,999","125,000-149,999","150,000-199,999","200,000+"
"McLoughlin Industrial",274478,2014,7.13,1.19,2.23,6.07,8.96,2.27,0.88,10.29,3.22,7.54,23.73,9.04,7.92,2.30,3.07,4.15
"Milwaukie Business-Industry",274545,2014,2.45,0.05,5.47,1.95,10.24,0.86,4.57,0.92,3.12,4.36,21.68,20.60,13.13,6.67,2.60,1.34
"Mount Scott",274604,2014,9.60,4.26,4.97,5.51,3.31,4.87,4.21,5.75,6.18,10.88,15.39,12.47,7.72,3.89,0.59,0.41
"Mount Tabor",274605,2014,5.11,3.45,3.32,3.71,4.51,4.73,4.31,5.56,2.50,6.22,10.03,12.55,12.98,7.91,5.51,7.61
"Neighbors Southwest",274653,2014,4.48,2.49,5.34,3.05,2.37,4.72,2.57,4.36,8.92,7.41,9.43,20.55,8.75,4.29,6.59,4.68
"Northwest",274797,2014,11.85,8.06,4.40,5.73,5.69,4.68,6.58,5.15,2.62,4.82,8.10,11.72,7.12,3.86,2.97,6.65
"Old Town-Chinatown",274898,2014,20.68,16.88,6.59,5.36,2.14,4.67,3.44,3.86,0.80,7.00,4.64,9.79,7.62,0.76,4.12,1.67
"Pleasant Valley",275055,2014,5.59,3.18,3.97,4.37,5.79,3.78,10.54,3.67,3.37,6.36,12.10,14.44,10.48,4.26,3.97,4.15
"Portsmith",275080,2014,21.24,7.32,4.02,4.54,5.36,2.03,5.31,5.54,3.06,9.07,8.11,14.51,3.01,3.09,3.11,0.69
"Raleigh West",275125,2014,2.51,8.62,0.44,5.16,2.63,4.62,5.37,3.88,0.64,10.50,16.37,13.06,11.72,7.33,2.74,4.41
"Ross Island",275256,2014,4.86,0.00,0.00,0.00,25.84,0.00,0.00,4.56,3.65,9.42,16.11,8.51,10.33,8.81,3.65,4.26
"Sellwood-Moreland",275327,2014,7.75,6.48,3.98,3.11,5.52,2.68,4.74,3.23,4.25,9.99,11.53,8.63,11.38,5.61,5.75,5.36
"South Beaverton",275412,2014,3.95,1.34,5.19,5.34,4.47,7.19,3.72,5.99,4.94,5.85,9.95,12.12,12.06,7.80,6.41,3.69
"Saintjohns",275553,2014,10.10,3.61,6.27,3.51,9.54,4.48,4.07,5.99,3.02,8.60,10.93,16.61,7.51,2.36,3.20,0.20
"Vose",275899,2014,7.19,10.24,3.93,7.78,3.84,4.63,7.02,4.23,7.03,8.59,4.35,15.64,4.63,4.59,5.68,0.64
"West Slope",275992,2014,3.50,0.34,1.56,3.20,3.50,6.79,5.75,4.40,8.73,5.87,8.07,15.25,9.46,11.97,2.80,8.80
"Brentwood-Darlington",276222,2014,5.30,7.33,6.35,6.56,5.97,5.69,4.54,2.50,6.98,7.72,13.84,17.17,4.66,2.82,2.06,0.49
"Denny Whitford",276294,2014,3.80,9.27,6.10,9.18,4.61,5.03,6.75,5.55,0.24,10.43,15.40,6.72,3.35,2.82,7.32,3.43
"Richmond",276532,2014,6.47,4.60,4.42,5.41,4.22,5.35,3.30,3.92,3.53,7.70,10.59,14.13,9.12,5.47,6.04,5.73
"Foster Powell",344054,2014,10.14,6.74,2.40,3.75,5.29,4.75,5.44,7.68,4.25,8.56,15.08,14.12,5.21,2.91,2.63,1.03
"Reed",344057,2014,7.92,13.40,6.53,6.51,1.35,4.32,9.12,8.61,3.05,7.96,5.17,12.09,7.26,3.17,1.93,1.63
"South Tabor",344059,2014,7.91,3.44,4.44,5.97,5.17,2.48,3.45,5.80,6.38,9.02,9.42,10.80,14.38,7.05,3.14,1.17
