region,regionid,year,"0-9,999","10,000-14,999","15,000-19,999","20,000-24,999","25,000-29,999","30,000-34,999","35,000-39,999","40,000-44,999","45,000-49,999","50,000-59,999","60,000-74,999","75,000-99,999","100,000-124,999","125,000-149,999","150,000-199,999","200,000+"
"Alameda",206428,2014,1.99,2.91,2.63,1.97,2.26,2.32,1.98,2.47,1.75,3.90,6.54,14.42,12.58,11.36,13.68,17.26
"Bridlemile",206554,2014,7.80,3.55,2.37,3.64,3.20,3.56,5.61,1.47,2.61,3.06,6.21,10.10,8.28,10.54,7.79,20.20
"Brooklyn",206562,2014,9.53,4.90,8.39,4.31,8.88,1.08,3.04,5.23,5.81,5.20,9.16,16.71,10.14,2.57,4.21,0.84
"Eastmoreland",206780,2014,3.37,2.29,1.78,3.32,1.19,1.82,3.17,2.58,0.47,7.31,7.44,13.70,11.62,8.86,10.17,20.93
"Hazelwood",206971,2014,7.33,7.80,7.86,7.03,5.75,6.42,6.84,4.69,5.37,9.14,8.89,11.09,5.55,3.28,1.64,1.31
"Hillsdale",206987,2014,5.78,2.91,4.56,1.68,4.40,5.41,3.32,3.71,3.68,4.22,7.77,11.25,9.33,7.98,9.83,14.15
"Irvington",207031,2014,7.59,5.29,5.44,5.42,5.01,3.67,4.23,6.08,3.23,9.32,8.67,11.25,6.79,4.70,5.62,7.68
"Kenton",207061,2014,8.89,5.07,5.75,2.64,7.92,5.45,5.00,2.76,5.45,10.16,7.70,14.52,8.57,5.95,3.38,0.78
"Lents",207108,2014,11.50,6.54,7.17,5.10,5.78,10.83,4.95,6.04,3.86,7.85,10.73,10.91,5.53,2.37,0.29,0.54
"Linnton",207125,2014,3.84,0.02,1.29,1.60,0.88,2.11,0.92,3.08,3.10,12.35,11.73,11.94,10.85,8.45,9.48,18.36
"Montavilla",207230,2014,8.42,4.48,4.25,6.17,5.82,5.10,5.28,3.89,7.43,10.45,11.18,14.55,6.30,3.03,2.23,1.43
"Parkrose",207340,2014,7.54,6.20,4.84,7.40,5.55,6.98,2.92,6.37,4.44,10.21,12.46,11.37,6.42,3.61,3.37,0.33
"Powellhurst",207384,2014,13.20,7.29,7.09,5.21,8.22,6.19,6.70,6.09,3.47,8.97,10.82,8.81,5.78,1.75,0.33,0.08
"University Park",207639,2014,8.92,5.48,3.30,3.07,6.97,5.14,3.73,3.71,3.50,6.92,5.83,16.45,7.58,5.71,9.60,4.09
"Woodstock",207740,2014,3.67,3.98,5.05,2.75,4.18,4.72,4.74,4.55,4.63,7.15,11.28,15.83,12.73,7.85,4.06,2.82
"Arbor Lodge",271060,2014,6.50,2.83,4.95,3.21,7.12,4.23,2.63,6.66,5.46,8.01,13.11,11.02,11.35,3.95,5.89,3.08
"Argay",271061,2014,5.32,5.83,3.42,5.65,6.64,3.78,3.72,6.50,2.20,5.97,13.89,15.54,11.03,4.88,3.06,2.58
"Boise",271065,2014,13.70,9.36,4.48,4.80,4.92,4.58,3.58,5.28,3.22,5.02,8.37,12.53,6.27,4.88,6.31,2.70
"Bridgeton",271067,2014,4.06,2.72,9.14,3.28,7.87,6.28,3.87,3.02,2.15,14.88,12.83,14.38,8.94,2.49,3.28,0.80
"Buckman",271068,2014,12.12,5.27,7.30,8.15,6.51,7.24,4.90,4.29,4.63,7.45,8.45,10.54,7.86,1.35,1.17,2.78
"Cathedral Park",271070,2014,13.38,6.07,5.35,5.47,6.36,5.16,5.34,6.95,5.66,5.92,5.96,13.73,6.41,3.41,3.32,1.52
"Centennial",271071,2014,10.29,7.75,7.00,7.61,6.77,6.43,6.01,6.16,5.07,8.09,10.50,10.21,4.49,2.36,0.73,0.53
"Center",271072,2014,6.95,2.60,5.16,4.33,4.66,3.99,5.73,4.71,4.21,5.91,10.34,9.96,10.20,4.23,6.83,10.18
"Concordia",271076,2014,4.91,2.16,1.37,2.53,2.77,3.41,6.03,3.26,5.48,9.42,11.40,13.98,13.07,8.28,8.21,3.74
"Cully",271079,2014,7.12,6.91,5.51,4.50,5.11,5.34,5.29,5.24,2.60,7.20,11.13,11.45,7.52,5.78,5.19,4.12
"Downtown",271082,2014,22.78,12.34,5.63,7.26,7.18,4.09,2.75,2.27,2.06,6.89,6.95,7.30,5.65,2.65,1.92,2.29
"Eliot",271085,2014,15.96,7.47,9.02,4.41,4.46,1.24,2.83,5.94,4.55,8.49,6.44,11.38,8.21,5.18,1.97,2.45
"Far Southwest",271087,2014,2.89,2.03,5.03,2.47,3.56,3.99,2.95,2.85,2.88,5.73,10.02,14.05,12.14,6.44,10.34,12.62
"Five Oaks",271089,2014,4.31,2.85,3.73,2.82,3.78,5.12,6.89,3.79,4.11,10.57,9.93,17.95,8.73,3.59,6.77,5.06
"Forest Park",271090,2014,2.74,1.24,2.44,3.11,1.31,2.19,0.62,2.39,1.34,6.19,5.92,10.23,10.85,7.93,11.31,30.19
"Hayhurst",271098,2014,5.40,3.58,2.20,4.44,6.07,2.30,4.48,4.01,3.83,7.87,10.93,14.05,9.61,8.98,7.65,4.59
"Kerns",271104,2014,7.22,7.59,4.66,5.88,9.60,8.38,6.80,5.36,4.48,6.99,6.63,9.08,7.23,4.37,3.84,1.87
"King",271105,2014,7.19,4.96,3.64,2.19,4.22,4.28,5.21,4.16,3.39,6.99,10.58,13.80,10.69,4.70,7.41,6.56
"Madison South",271108,2014,4.72,4.12,3.86,7.98,6.85,4.72,5.74,3.54,8.49,11.31,9.86,10.02,8.95,4.32,2.30,3.22
"Mill Park",271111,2014,11.63,10.64,10.59,6.76,3.49,5.86,4.62,4.27,5.84,7.67,6.45,10.71,6.61,1.79,1.44,1.63
"Overlook",271119,2014,6.51,3.64,5.45,4.22,3.54,4.73,4.56,5.51,3.28,5.29,9.14,13.18,10.91,5.87,8.83,5.34
"Pearl District",271122,2014,9.27,7.48,3.87,5.61,4.33,1.45,3.40,2.92,1.09,4.73,8.08,13.46,8.49,2.51,7.90,15.41
"Roseway",271127,2014,5.26,3.59,4.77,3.47,4.30,3.78,4.76,2.73,4.73,7.71,11.11,14.28,11.10,6.55,5.85,6.01
"Sexton Mountain",271131,2014,2.44,1.82,1.58,4.26,3.86,2.66,3.34,2.21,3.86,7.32,7.01,14.46,12.65,11.37,11.04,10.11
"Southwest Hills",271136,2014,10.84,4.81,2.36,3.70,1.13,3.43,4.10,3.25,2.19,2.60,3.56,6.58,7.56,7.91,10.85,25.11
"Sunderland",271139,2014,2.94,19.40,12.35,0.00,14.70,4.71,16.46,2.35,2.94,11.77,2.36,7.65,2.36,0.00,0.00,0.00
"Triple Creek",271142,2014,2.87,2.57,4.84,7.68,2.59,2.94,5.51,7.13,2.65,12.67,10.45,11.86,9.33,5.67,7.71,3.52
"West Beaverton",271146,2014,5.26,5.73,1.91,6.01,6.24,3.37,5.50,3.56,3.93,8.25,9.27,16.44,11.84,4.84,4.45,3.40
"Wilkes",271150,2014,12.26,6.73,6.91,4.45,5.19,5.64,5.46,6.45,4.02,8.39,9.97,10.69,6.71,3.66,2.58,0.88
"Woodlawn",271152,2014,5.93,7.03,5.95,3.11,4.49,7.08,5.61,3.06,6.03,7.32,12.35,10.82,9.69,4.77,3.63,3.14
"Ardenwald",272783,2014,6.64,11.68,3.52,7.50,2.21,5.91,4.04,8.06,5.06,5.55,12.84,14.63,4.79,3.87,3.08,0.63
"Central Beaverton",273187,2014,8.30,8.27,6.87,7.72,6.43,10.12,7.65,7.54,6.81,7.35,5.82,9.24,3.66,2.37,1.37,0.47
"Corbett-Terwilliger-Lair Hill",273346,2014,8.25,1.94,1.75,1.44,3.41,5.91,1.94,4.90,4.91,8.12,7.84,13.89,11.21,6.91,7.38,10.19
"Creston-Kenilworth",273402,2014,12.09,3.57,6.28,5.59,9.91,4.36,5.51,5.83,3.52,6.75,12.22,11.38,5.95,2.26,3.32,1.47
"Government Island",273856,2014,1.91,1.40,1.65,0.00,3.81,1.52,0.00,9.40,5.46,17.92,11.31,28.84,7.75,4.57,2.54,1.91
"Greenway",273899,2014,13.28,5.48,2.22,6.38,4.68,7.70,8.72,3.40,3.19,4.11,12.15,12.43,8.43,4.13,2.58,1.09
"Haden Island",273912,2014,7.24,8.90,15.01,12.47,4.93,1.36,3.64,5.13,6.48,5.94,9.23,10.41,5.08,0.00,1.84,2.35
"Hector Campbell",273955,2014,2.65,0.94,6.69,6.98,2.05,4.50,10.23,9.42,4.69,2.74,17.61,12.23,5.63,2.40,9.59,1.64
"Highlands",274008,2014,5.73,3.57,3.88,7.69,3.90,5.73,2.08,4.62,4.27,5.94,15.10,13.31,6.37,8.91,5.87,3.04
"Historic Milwaukie",274035,2014,6.55,2.05,2.31,4.73,6.23,3.74,8.16,6.08,5.02,9.80,16.21,14.98,5.73,1.95,4.27,2.20
"Homestead",274053,2014,7.27,0.42,4.71,0.99,8.97,4.02,10.03,2.56,1.38,2.52,7.88,14.85,8.17,4.79,8.06,13.36
"Hosford",274059,2014,5.99,4.45,5.32,2.68,6.53,3.04,4.86,3.91,4.11,5.76,10.78,10.08,9.85,9.09,4.79,8.74
"Island Station",274111,2014,9.99,5.20,5.00,4.54,6.90,6.86,6.81,4.94,5.29,8.28,7.75,13.78,5.46,7.40,1.41,0.39
"Lake Road",274239,2014,4.76,3.67,4.00,4.60,8.17,3.18,5.81,1.91,2.94,10.98,14.95,13.39,11.84,5.68,2.19,1.93
"Lewelling",274295,2014,6.94,5.51,8.34,6.92,3.73,6.98,3.41,3.04,6.01,9.86,11.01,20.76,4.25,1.95,0.77,0.52
"Linwood",274327,2014,1.73,5.08,7.44,2.87,2.71,3.98,3.63,8.25,3.44,9.98,12.38,18.44,11.43,3.44,2.14,3.05
"Lloyd",274337,2014,12.37,8.06,7.89,4.54,7.51,4.51,5.32,3.84,3.38,9.73,7.78,10.04,5.42,4.42,3.60,1.58
"Maplewood-Ashcreek",274417,2014,4.47,4.30,3.63,3.28,4.76,3.24,2.34,4.57,4.65,7.51,10.31,14.51,13.12,5.77,8.69,4.84
