region,regionid,year,White,Black,Native American,Asian,Pacific Islander,Other, "2 or more",year,White,Black,Native American,Asian,Pacific Islander,Other, "2 or more"
"Wilkes",271150,2000,76.18,4.33,0.90,7.80,0.27,6.66,3.86,2010,64.28,10.15,1.25,9.27,0.95,9.53,4.56
"Woodlawn",271152,2000,46.11,36.78,1.11,3.22,0.71,5.84,6.24,2010,60.05,24.05,1.01,2.37,0.75,5.33,6.44
"Ardenwald",272783,2000,91.73,1.26,1.06,1.39,0.09,0.99,3.48,2010,88.67,2.12,1.12,1.72,0.26,1.95,4.15
"Central Beaverton",273187,2000,70.90,2.22,0.94,7.08,0.39,14.31,4.17,2010,64.08,3.69,1.09,5.90,0.41,20.35,4.48
"Corbett-Terwilliger-Lair Hill",273346,2000,89.57,1.78,0.43,3.95,0.16,1.01,3.10,2010,86.79,1.32,0.57,5.95,0.21,1.30,3.85
"Creston-Kenilworth",273402,2000,77.64,3.15,1.19,9.63,0.64,2.89,4.87,2010,78.70,4.10,1.02,8.07,0.46,2.84,4.81
"Government Island",273856,2000,88.29,1.08,0.50,6.46,0.07,0.79,2.80,2010,80.83,1.72,0.51,10.57,0.40,2.28,3.69
"Greenway",273899,2000,81.88,2.43,0.61,5.72,0.42,4.35,4.59,2010,74.23,3.00,0.83,5.94,0.66,10.56,4.79
"Haden Island",273912,2000,92.02,1.96,1.59,1.23,0.09,0.79,2.33,2010,86.56,2.32,0.98,1.71,0.31,5.20,2.91
"Hector Campbell",273955,2000,92.03,0.85,0.77,2.58,0.14,1.34,2.29,2010,89.46,0.74,0.80,2.85,0.34,2.51,3.31
"Highlands",274008,2000,84.82,1.57,0.57,5.97,0.59,3.13,3.35,2010,79.74,2.12,0.66,6.23,0.74,5.68,4.84
"Historic Milwaukie",274035,2000,91.47,1.04,0.71,1.70,0.23,1.77,3.09,2010,89.95,1.02,1.50,2.39,0.29,1.55,3.29
"Homestead",274053,2000,87.37,1.09,0.47,7.45,0.09,0.91,2.62,2010,81.81,1.28,0.43,11.49,0.38,1.02,3.61
"Hosford",274059,2000,84.49,2.09,1.02,6.97,0.19,1.92,3.32,2010,88.04,1.13,0.78,5.10,0.18,1.05,3.73
"Island Station",274111,2000,91.15,1.04,0.72,1.72,0.27,1.51,3.59,2010,88.58,2.42,1.47,2.18,0.13,2.32,2.90
"Lake Road",274239,2000,91.45,0.56,0.57,2.09,0.22,1.53,3.58,2010,90.53,0.86,1.40,2.61,0.43,1.71,2.46
"Lewelling",274295,2000,91.41,0.64,1.22,3.37,0.22,0.93,2.21,2010,89.07,1.06,2.04,2.17,0.12,2.15,3.39
"Linwood",274327,2000,90.50,0.83,0.99,2.28,0.40,2.60,2.39,2010,86.01,0.90,1.02,2.86,0.28,5.06,3.87
"Lloyd",274337,2000,75.70,12.79,1.63,2.75,0.14,2.44,4.54,2010,80.07,8.92,1.29,3.20,0.25,2.22,4.06
"Maplewood-Ashcreek",274417,2000,88.50,2.00,0.79,3.06,0.29,2.19,3.17,2010,87.31,2.39,0.54,3.42,0.42,1.55,4.36
"McLoughlin Industrial",274478,2000,92.03,1.04,0.83,1.43,0.07,1.84,2.76,2010,90.54,1.21,0.92,2.68,0.37,0.76,3.53
"Milwaukie Business-Industry",274545,2000,91.62,0.61,0.34,3.00,0.44,1.05,2.93,2010,90.26,1.01,0.95,3.10,0.21,1.51,2.96
"Mount Scott",274604,2000,80.26,2.04,1.10,7.73,0.55,2.74,5.57,2010,78.85,1.91,1.21,9.09,0.16,3.89,4.88
"Mount Tabor",274605,2000,86.36,1.50,0.50,7.19,0.30,1.30,2.85,2010,87.48,1.35,0.49,5.39,0.29,1.29,3.71
"Neighbors Southwest",274653,2000,79.73,2.27,0.64,11.18,0.48,1.59,4.12,2010,77.16,2.51,0.43,12.31,0.32,2.23,5.05
"Northwest",274797,2000,87.56,2.71,1.13,4.27,0.19,1.43,2.71,2010,86.25,2.00,0.74,5.18,0.18,1.58,4.07
"Old Town-Chinatown",274898,2000,76.86,10.38,3.20,2.24,0.29,3.22,3.82,2010,77.16,10.32,2.32,3.25,0.33,1.71,4.91
"Pleasant Valley",275055,2000,84.83,1.49,0.89,7.98,0.24,1.66,2.91,2010,72.70,4.03,0.75,14.36,0.52,3.47,4.18
"Portsmith",275080,2000,57.75,15.82,2.16,7.08,0.74,9.88,6.57,2010,55.36,18.41,1.96,3.78,1.60,11.77,7.13
"Raleigh West",275125,2000,87.51,1.33,0.79,3.93,0.25,3.00,3.19,2010,84.84,1.50,0.45,3.71,0.68,4.78,4.04
"Ross Island",275256,2000,88.11,1.30,0.49,4.40,0.81,1.30,3.58,2010,94.75,0.44,0.15,1.31,0.00,1.31,2.04
"Sellwood-Moreland",275327,2000,90.15,1.54,0.85,3.06,0.21,0.90,3.29,2010,89.67,1.01,0.81,3.01,0.16,1.29,4.05
"South Beaverton",275412,2000,85.74,1.06,0.40,8.22,0.12,1.09,3.37,2010,82.56,1.27,0.26,7.74,0.75,2.79,4.64
"Saintjohns",275553,2000,67.66,10.86,2.07,5.53,0.69,6.63,6.55,2010,59.20,12.02,2.20,5.72,1.07,12.61,7.19
"Vose",275899,2000,76.36,1.53,1.13,4.20,0.30,12.17,4.31,2010,69.32,2.40,1.01,4.01,0.45,18.09,4.72
"West Slope",275992,2000,90.50,0.93,0.45,3.65,0.05,1.65,2.78,2010,89.46,2.01,0.76,3.49,0.10,1.24,2.94
"Brentwood-Darlington",276222,2000,78.77,1.33,1.55,7.15,0.25,5.51,5.44,2010,72.10,3.59,1.31,10.36,0.28,6.94,5.42
"Denny Whitford",276294,2000,88.55,1.53,0.64,2.59,0.52,2.15,4.03,2010,85.18,1.55,0.50,2.87,0.57,5.61,3.72
"Richmond",276532,2000,86.83,1.52,0.88,5.79,0.11,1.76,3.10,2010,88.15,1.22,0.52,4.59,0.08,1.38,4.06
"Foster Powell",344054,2000,75.40,1.79,0.92,14.34,0.31,2.45,4.78,2010,71.77,3.44,1.23,13.19,1.59,3.88,4.90
"Reed",344057,2000,84.62,2.36,0.94,6.21,0.09,1.95,3.84,2010,84.13,2.69,0.81,6.11,0.16,1.31,4.78
"South Tabor",344059,2000,77.48,2.12,0.71,13.59,0.43,2.34,3.31,2010,77.04,2.49,0.84,12.69,0.39,2.37,4.18
