regionid,year,no_highschool_diploma,highschool_and_ged_diploma,some_college,bachelors_degree,graduate_plus
206428,2009,1.50,6.29,19.17,37.18,35.85
206554,2009,2.11,8.27,21.29,39.99,28.34
206562,2009,5.32,19.94,31.94,25.89,16.90
206780,2009,1.82,7.07,22.81,35.46,32.85
206971,2009,15.38,29.28,35.93,13.86,5.55
206987,2009,3.77,9.36,21.12,35.07,30.68
207031,2009,3.88,11.86,23.33,32.79,28.14
207061,2009,14.14,25.21,28.67,22.75,9.23
207108,2009,21.33,31.40,32.14,11.84,3.28
207125,2009,2.35,18.20,24.95,24.67,29.84
207230,2009,12.44,24.15,31.08,20.98,11.34
207340,2009,12.90,33.70,35.91,12.47,5.03
207384,2009,26.42,32.89,29.15,9.24,2.31
207639,2009,7.39,23.01,35.46,20.26,13.87
207740,2009,8.02,17.95,34.97,27.91,11.15
271060,2009,9.05,19.68,31.17,27.73,12.37
271061,2009,10.18,26.86,37.42,17.15,8.39
271065,2009,12.62,19.75,31.90,24.41,11.31
271067,2009,15.89,25.12,34.08,17.20,7.70
271068,2009,8.84,13.95,25.54,36.54,15.13
271070,2009,16.51,25.21,27.97,19.40,10.90
271071,2009,22.82,32.09,31.08,9.16,4.85
271072,2009,4.12,15.12,24.72,33.33,22.72
271076,2009,4.79,20.22,28.34,29.12,17.53
271079,2009,16.44,24.87,26.49,18.82,13.38
271082,2009,9.78,12.89,27.19,32.24,17.89
271085,2009,5.45,10.45,18.70,37.10,28.30
271087,2009,1.28,7.48,24.60,39.61,27.03
271089,2009,9.95,12.58,23.41,34.99,19.08
271090,2009,1.68,7.14,16.22,37.98,36.98
271098,2009,6.09,11.62,27.48,31.54,23.27
271104,2009,7.76,18.90,26.66,31.54,15.13
271105,2009,9.93,20.08,27.67,26.96,15.36
271108,2009,12.83,23.65,30.12,24.65,8.76
271111,2009,21.99,28.47,33.29,12.07,4.18
271119,2009,10.38,20.44,28.75,30.62,9.80
271122,2009,7.46,10.69,20.81,34.84,26.20
271127,2009,5.05,15.70,31.49,28.44,19.32
271131,2009,6.12,20.91,36.67,24.66,11.63
271136,2009,1.56,9.07,20.89,34.64,33.84
271139,2009,35.74,29.40,22.11,7.63,5.12
271142,2009,5.00,21.31,37.31,23.22,13.16
271146,2009,10.58,20.24,36.53,21.86,10.79
271150,2009,16.33,28.94,34.06,14.06,6.61
271152,2009,11.91,19.74,33.10,22.79,12.46
272783,2009,9.87,30.33,41.98,14.75,3.07
273187,2009,20.24,25.29,31.78,13.08,9.61
273346,2009,1.74,7.42,21.87,41.59,27.37
273402,2009,12.39,21.68,32.48,23.49,9.96
273899,2009,3.05,26.09,41.49,19.38,10.00
273912,2009,6.95,20.34,56.59,7.80,8.31
273955,2009,9.59,32.19,40.34,15.25,2.63
274008,2009,3.88,24.43,32.87,26.67,12.15
274035,2009,8.54,22.48,38.89,20.05,10.04
274053,2009,1.56,5.15,18.58,35.98,38.74
274059,2009,4.93,13.86,24.55,35.57,21.09
274111,2009,9.90,23.05,28.47,27.87,10.71
274239,2009,7.78,26.13,39.49,17.61,8.99
274295,2009,8.32,26.61,41.08,20.46,3.54
274327,2009,10.78,31.33,41.64,14.16,2.08
274337,2009,4.56,14.28,20.76,32.87,27.53
274417,2009,2.73,15.31,29.36,30.47,22.13
274478,2009,4.28,21.74,41.24,20.22,12.52
274545,2009,7.70,29.62,36.88,16.99,8.82
274604,2009,15.60,22.79,32.75,21.41,7.45
274605,2009,7.60,15.34,26.93,30.70,19.44
274653,2009,7.67,13.18,38.67,22.70,17.78
274797,2009,2.82,10.25,23.42,36.70,26.81
274898,2009,22.41,16.17,25.68,23.53,12.21
275055,2009,15.35,32.12,29.09,18.83,4.61
275080,2009,21.91,27.47,31.75,14.42,4.45
275125,2009,3.61,14.79,30.89,24.90,25.82
275256,2009,2.57,8.52,43.73,15.92,29.26
275327,2009,5.69,15.64,28.79,29.02,20.85
275412,2009,5.28,15.13,35.01,26.25,18.33
275553,2009,15.32,31.40,29.00,18.81,5.48
275899,2009,20.43,19.32,33.39,20.90,5.96
275992,2009,1.31,7.77,25.08,38.02,27.82
276222,2009,20.38,32.54,32.18,11.68,3.23
276294,2009,11.55,17.47,26.22,32.10,12.66
276532,2009,4.61,8.95,26.97,39.38,20.10
344054,2009,14.07,25.17,29.51,21.68,9.58
344057,2009,3.90,17.11,32.93,26.40,19.66
344059,2009,14.82,23.65,31.03,20.32,10.18
